"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0233879497748914,0.00384296191433956,0.385393824387922,0.379425864231239,1.53329380880119,-7724.11873389179
"Std.",0.000610256006540237,0.000923301418586215,0.0238397294609559,0.0178869148095453,0.0438289657160833,1.56880185636383
"Acceptance ratio",0.2471,0.19356,0.21472,0.28494,0.17168,0.71594
"0%",0.0210080150753116,3.50421521183226e-05,0.291287688453625,0.291422985061004,1.37102915126088,-7736.75922406466
"2.5%",0.0222255490697626,0.00199142186151454,0.340411042153135,0.343411693864587,1.44806033187435,-7727.98924708017
"5%",0.0224024403928032,0.00227461937661671,0.347144794831181,0.349349570036093,1.46427783555798,-7727.07411869441
"7.5%",0.0225218282494182,0.0024782593644658,0.351422069556535,0.353248179299323,1.47278463267993,-7726.55794876096
"10%",0.0226099334029803,0.00263807037698638,0.354935820030159,0.356234245393017,1.47823293138977,-7726.17213719784
"12.5%",0.0226929681390539,0.00277623998846736,0.358127597499125,0.359029704589812,1.48460482782598,-7725.8783616029
"15%",0.0227525504821545,0.00288807076046571,0.360772517385298,0.361060553253254,1.48895732767101,-7725.62269075733
"17.5%",0.0228142896229523,0.00300019312256911,0.362891679079081,0.362982981779668,1.49261338349655,-7725.41174279916
"20%",0.0228733455205692,0.00308479470702851,0.365203996238892,0.364567456889457,1.49654418574092,-7725.22219101579
"22.5%",0.022928650672039,0.00316727890260753,0.367438360864448,0.366076443177077,1.49988580489003,-7725.0527468289
"25%",0.0229769401578356,0.00324104409583899,0.369149740171227,0.367552860496461,1.50320562576658,-7724.89461468848
"27.5%",0.0230228749087454,0.00330695092326865,0.370789407371015,0.368922002342573,1.50667513577582,-7724.74545404769
"30%",0.0230729876979759,0.00337223093934554,0.372509697088793,0.370242709774533,1.50980746264593,-7724.61444540831
"32.5%",0.023113747726059,0.0034446120306388,0.374150380146292,0.371556103793614,1.51275539885365,-7724.49388096115
"35%",0.0231547181239559,0.0035089623875028,0.375938686128653,0.372805448414993,1.51566534940719,-7724.37923525866
"37.5%",0.023191614859881,0.0035715841879179,0.377470432150125,0.37392805195763,1.51816940704429,-7724.2617846847
"40%",0.0232303003723684,0.00362450182095001,0.379049654641462,0.375157400637113,1.52052307504922,-7724.16793457961
"42.5%",0.0232728202848384,0.00368587994958948,0.380494083557937,0.376364756558958,1.52331981037254,-7724.0700286283
"45%",0.0233091833014146,0.00374544156038983,0.381931262359509,0.377510355598906,1.52578735284987,-7723.98088531527
"47.5%",0.0233463159010742,0.00380076009832865,0.383448724927408,0.378603783784743,1.52854081972666,-7723.88868716761
"50%",0.0233812562177226,0.00385396939164666,0.384966730536818,0.379842620950672,1.53111584206863,-7723.79817589455
"52.5%",0.0234225239249504,0.00391619272464769,0.386599195387928,0.380914373530589,1.53412830142722,-7723.71165496721
"55%",0.0234611138436922,0.00397880257904358,0.38795572739533,0.381863748605375,1.53743000854768,-7723.62809198772
"57.5%",0.0235015141273147,0.00404031758539143,0.389508448338163,0.382987719568186,1.54073373372509,-7723.55097911208
"60%",0.0235396376358954,0.00408817699240206,0.391155767130329,0.384045881311063,1.54420798567335,-7723.46795797591
"62.5%",0.0235798558450135,0.00414504504030186,0.392654844627253,0.385192625647198,1.54724377562573,-7723.38128579153
"65%",0.0236217148998982,0.00419735617721098,0.39437343860166,0.386489650210882,1.54946792289562,-7723.29865219971
"67.5%",0.0236637269274995,0.00426323852548051,0.396023624165386,0.387737091264595,1.5527557439834,-7723.22065882423
"70%",0.0237103757409195,0.00432787364746775,0.397697736280699,0.389087752374826,1.55611107001754,-7723.13896601108
"72.5%",0.0237535305513657,0.00439415218947424,0.399437989551992,0.390342811506966,1.56004774359422,-7723.05740024616
"75%",0.0237989101798572,0.00446934605149193,0.401296054326329,0.391744343506692,1.56334023523625,-7722.97852079677
"77.5%",0.0238462269994488,0.00454544684014968,0.403185280836839,0.393267428383066,1.56724558481389,-7722.89726618717
"80%",0.023893181358385,0.00463521809689652,0.405203821270682,0.394766769207822,1.57109551045536,-7722.81674653675
"82.5%",0.0239546115062166,0.00470080409516955,0.407511049378907,0.396223255328585,1.57518601962289,-7722.73991090139
"85%",0.0240128333296327,0.00478591103581871,0.409753581458439,0.398269268645473,1.57948204071339,-7722.65439236075
"87.5%",0.0240803898896882,0.00487945857334979,0.412666155760764,0.400119919240341,1.58427795460359,-7722.56004533141
"90%",0.0241480734812341,0.00500831494069869,0.416148472303591,0.402325159931634,1.58977954310943,-7722.46708527528
"92.5%",0.0242358161824914,0.00516710438292316,0.420086217242946,0.4048325441756,1.59621792314947,-7722.35887634353
"95%",0.0243745825787337,0.00533648927057912,0.42603254799372,0.40785392647622,1.60418476972676,-7722.23150016379
"97.5%",0.0245999593221308,0.00560444211740944,0.433057519687509,0.412730685833178,1.61739786471995,-7722.07416855993
"100%",0.0262243518215509,0.00730793077777768,0.503712874728317,0.451523004823385,1.7252144890952,-7721.67000834901
