# table produced by mapDamage version 2.0.1-10-g0a7fa27-dirty
# using mapped file - and 000_prefixes/Pi_mito.fasta as reference file
# Std: strand of reads
Std	Length	Occurences 
+	23	6
+	24	63
+	25	357
+	26	352
+	27	293
+	28	286
+	29	253
+	30	229
+	31	218
+	32	211
+	33	184
+	34	209
+	35	161
+	36	188
+	37	138
+	38	156
+	39	179
+	40	169
+	41	176
+	42	151
+	43	163
+	44	138
+	45	149
+	46	123
+	47	150
+	48	113
+	49	114
+	50	89
+	51	102
+	52	102
+	53	85
+	54	90
+	55	78
+	56	85
+	57	71
+	58	86
+	59	65
+	60	86
+	61	72
+	62	59
+	63	71
+	64	73
+	65	73
+	66	72
+	67	68
+	68	68
+	69	64
+	70	48
+	71	73
+	72	52
+	73	51
+	74	41
+	75	52
+	76	40
+	77	52
+	78	57
+	79	37
+	80	44
+	81	43
+	82	50
+	83	39
+	84	44
+	85	50
+	86	39
+	87	46
+	88	34
+	89	28
+	90	27
+	91	57
+	92	96
+	93	214
+	94	1520
+	95	23
+	96	2
-	23	3
-	24	60
-	25	370
-	26	366
-	27	312
-	28	283
-	29	232
-	30	253
-	31	216
-	32	220
-	33	214
-	34	209
-	35	190
-	36	190
-	37	145
-	38	196
-	39	194
-	40	174
-	41	164
-	42	163
-	43	168
-	44	130
-	45	141
-	46	121
-	47	136
-	48	115
-	49	108
-	50	100
-	51	123
-	52	85
-	53	79
-	54	89
-	55	68
-	56	77
-	57	84
-	58	80
-	59	71
-	60	64
-	61	81
-	62	63
-	63	62
-	64	72
-	65	63
-	66	54
-	67	49
-	68	69
-	69	63
-	70	64
-	71	49
-	72	58
-	73	58
-	74	56
-	75	39
-	76	48
-	77	37
-	78	56
-	79	53
-	80	53
-	81	38
-	82	47
-	83	49
-	84	36
-	85	41
-	86	40
-	87	45
-	88	41
-	89	20
-	90	38
-	91	54
-	92	83
-	93	243
-	94	1434
-	95	19
-	96	2
