# table produced by mapDamage version 2.0.1-10-g0a7fa27-dirty
# using mapped file - and 000_prefixes/Pi_mito.fasta as reference file
# Std: strand of reads
Std	Length	Occurences 
+	23	2
+	24	49
+	25	241
+	26	234
+	27	171
+	28	179
+	29	167
+	30	115
+	31	130
+	32	110
+	33	81
+	34	102
+	35	90
+	36	78
+	37	80
+	38	63
+	39	61
+	40	63
+	41	50
+	42	35
+	43	44
+	44	39
+	45	50
+	46	29
+	47	37
+	48	36
+	49	34
+	50	28
+	51	29
+	52	35
+	53	39
+	54	41
+	55	30
+	56	26
+	57	25
+	58	18
+	59	32
+	60	33
+	61	19
+	62	17
+	63	19
+	64	22
+	65	28
+	66	22
+	67	23
+	68	22
+	69	26
+	70	51
+	71	29
+	72	38
+	73	42
+	74	10
+	75	10
+	76	12
+	77	13
+	78	14
+	79	6
+	80	12
+	81	6
+	82	15
+	83	9
+	84	12
+	85	6
+	86	7
+	87	5
+	88	7
+	89	7
+	90	4
+	91	4
+	92	7
+	93	8
+	94	20
+	95	2
+	96	4
+	97	6
+	98	7
+	99	4
+	100	3
+	101	5
+	102	3
+	103	7
+	104	3
+	105	5
+	106	2
+	107	2
+	108	2
+	109	3
+	110	2
+	112	1
+	117	1
+	118	4
+	119	2
+	120	2
+	122	2
+	123	2
+	124	1
+	125	1
+	126	1
+	128	1
+	129	1
+	130	2
+	133	2
+	140	1
+	145	1
+	146	2
+	149	1
+	150	1
+	161	1
+	168	1
+	181	1
+	184	1
-	23	6
-	24	46
-	25	288
-	26	234
-	27	175
-	28	166
-	29	152
-	30	115
-	31	103
-	32	108
-	33	116
-	34	94
-	35	73
-	36	66
-	37	55
-	38	71
-	39	61
-	40	60
-	41	51
-	42	46
-	43	51
-	44	30
-	45	43
-	46	36
-	47	33
-	48	42
-	49	34
-	50	33
-	51	31
-	52	19
-	53	33
-	54	34
-	55	27
-	56	30
-	57	20
-	58	34
-	59	22
-	60	21
-	61	20
-	62	17
-	63	24
-	64	20
-	65	12
-	66	16
-	67	16
-	68	16
-	69	19
-	70	49
-	71	16
-	72	41
-	73	43
-	74	9
-	75	16
-	76	11
-	77	8
-	78	2
-	79	11
-	80	9
-	81	10
-	82	14
-	83	6
-	84	7
-	85	10
-	86	3
-	87	8
-	88	2
-	89	5
-	90	11
-	91	7
-	92	4
-	93	8
-	94	23
-	95	5
-	96	7
-	97	4
-	98	8
-	99	2
-	100	3
-	101	3
-	102	2
-	103	2
-	104	3
-	105	1
-	107	2
-	109	3
-	110	1
-	111	1
-	112	1
-	113	1
-	114	2
-	116	2
-	118	3
-	119	3
-	120	1
-	121	1
-	122	1
-	123	2
-	127	1
-	129	2
-	130	1
-	131	1
-	134	1
-	136	1
-	137	1
-	138	2
-	140	1
-	145	1
-	147	1
-	148	1
-	162	1
-	164	1
-	166	1
-	174	2
-	178	1
