"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0275833354710102,3.34561287463039e-05,0.124779030702315,0.323789622995648,0.918775976332997,-18766.5962380243
"Std.",0.000263693666102707,3.32594726717004e-05,0.00312904908695234,0.00607387243054788,0.0102642584015137,1.70275888218207
"Acceptance ratio",0.26642,0.2018,0.25018,0.25904,0.20476,0.74038
"0%",0.0266540101212686,5.08430752837777e-09,0.113148362459768,0.300751172879184,0.880276424431998,-18778.1808967307
"2.5%",0.0270706844974985,8.63303432874918e-07,0.11902105336135,0.31220961777386,0.898854660658202,-18770.7575401854
"5%",0.0271523257788836,1.69458760859594e-06,0.11987644974734,0.314131062540229,0.901832929619413,-18769.8467841703
"7.5%",0.0272071467487264,2.55030305922469e-06,0.120403527629705,0.315294647223063,0.903990079991048,-18769.2973888737
"10%",0.0272478308614661,3.23961380608697e-06,0.120823921719195,0.316083292144517,0.905664537052658,-18768.8868235797
"12.5%",0.0272784807617019,4.02085226169441e-06,0.121203959811656,0.316845114179385,0.906877779598108,-18768.5679297344
"15%",0.0273090664063941,5.11555994888759e-06,0.121555578131757,0.317498069930494,0.908010183938086,-18768.2890616313
"17.5%",0.0273368358152623,6.12684104766328e-06,0.121840040010875,0.318128911220384,0.909056579792864,-18768.0356131696
"20%",0.0273600911777602,7.22232308291811e-06,0.122105822315837,0.31867450536136,0.910131001803781,-18767.8331770706
"22.5%",0.0273804826194021,8.05937557625017e-06,0.122378939904702,0.319203886285329,0.911201890821345,-18767.6514001938
"25%",0.027401962631993,9.14898778900812e-06,0.122613914047479,0.319706029691453,0.912051807437616,-18767.4881823124
"27.5%",0.0274238747591415,1.04631294987505e-05,0.122859215540079,0.320150562987714,0.912759074333299,-18767.3309480195
"30%",0.0274429877111701,1.15216357521017e-05,0.12309873904279,0.320569957666869,0.913420748014924,-18767.1889837104
"32.5%",0.0274596545076922,1.27029744395689e-05,0.123312788912644,0.320931494985985,0.914097996513825,-18767.0624309433
"35%",0.0274797323251407,1.42903835601093e-05,0.123525326260038,0.321327518952669,0.91477365987461,-18766.9384714442
"37.5%",0.0274976347784389,1.55494246088445e-05,0.123765424859494,0.321710556461365,0.915403188131131,-18766.8163417853
"40%",0.0275151835405313,1.68973862468801e-05,0.123937337499734,0.322077827329619,0.916247818717267,-18766.7015869266
"42.5%",0.0275338076690217,1.83151907227893e-05,0.124116853320328,0.322446295327986,0.916914359123012,-18766.5952971988
"45%",0.0275497627585016,2.0140547808191e-05,0.124308834096465,0.322868913468303,0.917408532353834,-18766.4893689937
"47.5%",0.0275668868891626,2.16824117255395e-05,0.124493868799483,0.323211087631214,0.918041502056398,-18766.3850842816
"50%",0.0275823260800664,2.31942077676962e-05,0.124665796287497,0.323601843852261,0.918714769999579,-18766.2900351317
"52.5%",0.0275975574643281,2.47180375254283e-05,0.124854296027888,0.323973513978742,0.919424565214727,-18766.1932800784
"55%",0.0276146002699486,2.62992670146587e-05,0.125080961277785,0.324376383409278,0.920042710592026,-18766.0923320415
"57.5%",0.0276326462355948,2.83613765545899e-05,0.125266926810126,0.32477059582537,0.920684156108689,-18765.9951988153
"60%",0.0276510643710888,3.07915884037689e-05,0.125474955735363,0.32520804899463,0.921405678368773,-18765.8965696173
"62.5%",0.0276652818130436,3.33275342350489e-05,0.125675622665307,0.32563338219201,0.922055769101683,-18765.8075925719
"65%",0.0276832797703657,3.57124516428861e-05,0.125872699453715,0.325979205632005,0.922737913811702,-18765.717135957
"67.5%",0.0277023258990307,3.81884628033436e-05,0.126114467564607,0.326419503247716,0.923445616031807,-18765.6238971442
"70%",0.0277213849126008,4.1020860248523e-05,0.126321817408288,0.326816640100801,0.924154626372352,-18765.5365848399
"72.5%",0.0277405401121762,4.39807628634639e-05,0.126540643697511,0.327259015178842,0.924885746049791,-18765.4395350521
"75%",0.027760389698616,4.74669275807704e-05,0.126795023546854,0.327727138355936,0.925767613776735,-18765.3442972281
"77.5%",0.0277806586591256,5.07773916305104e-05,0.127045210620775,0.328253870700646,0.926627579671115,-18765.2542616972
"80%",0.0278033744610072,5.47057850872189e-05,0.127321479478956,0.328852634531782,0.927457506051715,-18765.1578028854
"82.5%",0.0278297879925748,5.9216972270442e-05,0.127664487657286,0.32946477267488,0.928446557293927,-18765.0565798667
"85%",0.0278568673369877,6.40826720460735e-05,0.128008982241373,0.330215577329557,0.929396339584046,-18764.9484888549
"87.5%",0.0278912864346315,6.98508457430145e-05,0.128376866091354,0.330889026268217,0.930636703616476,-18764.8351703966
"90%",0.0279267157759398,7.63753925994585e-05,0.12883562400457,0.331747497697286,0.931806441697034,-18764.7213721314
"92.5%",0.0279688845305674,8.72586634181523e-05,0.129378189697081,0.332715115258501,0.933526562875365,-18764.5899468433
"95%",0.0280192401685,9.95522705210282e-05,0.130082233371827,0.334006230390133,0.935763494288059,-18764.4440368819
"97.5%",0.0281063155076181,0.000123077929149151,0.131198890843294,0.335888988606095,0.938932332341738,-18764.2486367545
"100%",0.0286830582486809,0.000320290328646787,0.139148600176267,0.349270680547334,0.95495164639458,-18763.6834924867
