"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0268140459220387,0.000242597739047013,0.0732009399531436,0.286508434062607,0.753234428190458,-4310.57905127929
"Std.",0.000660836927743235,0.000224349015531467,0.00674387574868724,0.0203169335945215,0.0225942909824433,1.70863685963672
"Acceptance ratio",0.19058,0.1833,0.28142,0.23416,0.24116,0.72394
"0%",0.0244185465271013,1.55564357783868e-08,0.0501215936698641,0.198159717222829,0.673806158892296,-4323.48454200937
"2.5%",0.0255476042541874,6.01123436383136e-06,0.0606226329113106,0.247838082110728,0.710241950605932,-4314.73529813362
"5%",0.0257387779964195,1.30556749623329e-05,0.0626252600907769,0.253779471153437,0.716793479138783,-4313.78706776615
"7.5%",0.0258642789579861,1.96016992915799e-05,0.0637122890336663,0.257851990419167,0.721365770777893,-4313.20484822215
"10%",0.0259543355071761,2.72610266731405e-05,0.0647722359423057,0.261216200431202,0.724440810528629,-4312.84516821523
"12.5%",0.0260417261729408,3.42893945155736e-05,0.0655174299536157,0.263582027004416,0.727487411511646,-4312.53169976731
"15%",0.0261150624719362,4.14329872185814e-05,0.0661920171285927,0.265871630192666,0.729849433460022,-4312.27193512936
"17.5%",0.0261878800164485,4.89945986355141e-05,0.066884548102796,0.267743467168052,0.731984854569962,-4312.05416531621
"20%",0.0262462632373179,5.73777547024901e-05,0.0674869605838197,0.269612910835128,0.734087392233355,-4311.86683512056
"22.5%",0.0262977892918702,6.66888227439816e-05,0.0680024716159262,0.271241640272689,0.735908467586519,-4311.67818330158
"25%",0.0263492679382374,7.52644546572826e-05,0.0685059274136403,0.272716127926712,0.737708539640076,-4311.51069367478
"27.5%",0.0264135721520821,8.54104667772462e-05,0.0689837091928766,0.2741964377212,0.739451732679606,-4311.34544169736
"30%",0.0264649267621316,9.49918538760777e-05,0.0694607794730739,0.275643194375174,0.741228402746265,-4311.19732151359
"32.5%",0.0265165792662094,0.000104625787426926,0.0699342074046913,0.27706144025366,0.742785959722828,-4311.05712525501
"35%",0.0265611988522615,0.000112948616201345,0.0704406485658998,0.278487411202633,0.74409245073808,-4310.92351100921
"37.5%",0.0266020531999352,0.000122268347382365,0.0708751050966102,0.279889769379216,0.745613834270069,-4310.80292339523
"40%",0.0266435900612021,0.000133004421142137,0.0713150175060689,0.281018703810351,0.747077097039091,-4310.68536009855
"42.5%",0.02668706493615,0.000144029518443549,0.0717863734833155,0.282348503955832,0.748390737019985,-4310.57979058139
"45%",0.0267302152043519,0.00015529110187665,0.0722468514919247,0.283513740737385,0.749870028050262,-4310.47769736369
"47.5%",0.0267710850705783,0.000166909283906197,0.0726705993414875,0.284822221580622,0.75139710204868,-4310.37143470496
"50%",0.0268127044117473,0.000179424494686417,0.0730656959593831,0.286022096020801,0.752797084375922,-4310.27179498147
"52.5%",0.0268428558237263,0.000192245504035562,0.0734783720399611,0.287149067992165,0.754255397194863,-4310.17542394414
"55%",0.0268856742560616,0.00020605341338299,0.073856937387925,0.288488620774536,0.755786657960714,-4310.07685713079
"57.5%",0.0269350232218525,0.000221610573628565,0.0743000389953186,0.289773942653627,0.757333135648067,-4309.98061505648
"60%",0.0269745857001084,0.000235821238926949,0.0746706910838597,0.291217550276846,0.758755040863718,-4309.88634305728
"62.5%",0.0270218577481882,0.000249545369651732,0.0751169063049116,0.292535978213103,0.760133552443049,-4309.79542666813
"65%",0.0270674976301386,0.00026389334787594,0.0756274144283812,0.293851540464696,0.761798223464551,-4309.70449044168
"67.5%",0.027115160641004,0.000278258341101514,0.0760469910411475,0.295297572901171,0.76339048889084,-4309.60931713939
"70%",0.0271726196141441,0.000297585871482697,0.0765744545995292,0.296716395364951,0.765091307048769,-4309.50801147821
"72.5%",0.0272164186324126,0.000319513960314735,0.0771284390270906,0.298232637059589,0.766895283840802,-4309.41020779432
"75%",0.0272680876007831,0.000339663964055282,0.0776450007727333,0.299839153989692,0.768499336468971,-4309.31830348941
"77.5%",0.0273291779018472,0.000366179400632878,0.0782258159395851,0.301562592570482,0.770246412837234,-4309.22093428966
"80%",0.0273860061659284,0.000392025824522153,0.0787857008213124,0.303365421619652,0.772101448417441,-4309.11958319017
"82.5%",0.027444846824717,0.000423577596128624,0.0794536149210925,0.305298351952744,0.774307601525975,-4309.02528983414
"85%",0.027511380755112,0.000456143436461369,0.0802179155947401,0.307294338340941,0.77670957588976,-4308.9231422332
"87.5%",0.0275713421059801,0.000493628203070918,0.0810099263032816,0.309656729165185,0.779190954627463,-4308.81722782991
"90%",0.0276542365558125,0.000546910787265105,0.0819169461989368,0.312512968139701,0.782426788790996,-4308.69866610216
"92.5%",0.0277699892569635,0.000613065693946058,0.0829107356090555,0.315710799886008,0.786031512670717,-4308.56918146443
"95%",0.0278882526344828,0.000698889402592154,0.0845191859373113,0.320016249822472,0.79092283533229,-4308.42305073776
"97.5%",0.0280915013423115,0.000838665322901309,0.0868636583635092,0.327451378030451,0.798157460353975,-4308.22031716261
"100%",0.0292101758647466,0.00232052350211329,0.107417689975156,0.378900019336768,0.8647733361315,-4307.63486253567
