"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0205161884355125,0.000217338297947547,0.0978693431282681,0.283717983858262,1.1897927272809,-6414.43407814038
"Std.",0.000524232548061831,0.000204087542428916,0.00700313518340658,0.0151763348893451,0.0346226804150627,1.67557227883458
"Acceptance ratio",0.25316,0.16714,0.27792,0.16824,0.16512,0.68682
"0%",0.0184652921662282,2.68332083447158e-08,0.0774861888924155,0.232908896826712,1.0620208745594,-6426.97352037773
"2.5%",0.0194864730718651,5.98616191734854e-06,0.0845800413837175,0.254608325817271,1.12377177508404,-6418.44592809611
"5%",0.0196617745017828,1.1400713178174e-05,0.0865765823677068,0.258543873032978,1.13338118359316,-6417.55659684848
"7.5%",0.0197731292071563,1.74741154780339e-05,0.0877993329906973,0.261731720260186,1.14003233149101,-6417.04351138843
"10%",0.0198521026806183,2.26828315759433e-05,0.0888270396500504,0.264456229531059,1.14583163400737,-6416.66286224342
"12.5%",0.0199203084774116,2.91266246704717e-05,0.0897931775469507,0.266483266815511,1.14996834762385,-6416.35807853826
"15%",0.0199752235672,3.52112891197411e-05,0.0906199266624736,0.267878650528616,1.15412969105962,-6416.10754620254
"17.5%",0.0200274736347861,4.16028151723156e-05,0.0913299497145145,0.269389354770449,1.15797526956607,-6415.87994855439
"20%",0.0200794654003875,4.99604756880719e-05,0.0919237572228352,0.271018006941138,1.16082657497433,-6415.67777722978
"22.5%",0.0201178101027408,5.77357866605223e-05,0.0924554049760004,0.272258247011929,1.16350048282079,-6415.49158172124
"25%",0.0201635185638628,6.64929417037029e-05,0.0930178404011588,0.273457696134894,1.16631992142566,-6415.31860165032
"27.5%",0.0202032811808304,7.42046743645067e-05,0.0935525853164335,0.274519115033599,1.16915367479191,-6415.17338298519
"30%",0.0202401302191239,8.1939496408924e-05,0.0940719312647253,0.275747424519762,1.17195993381932,-6415.03464605372
"32.5%",0.0202802113543834,9.06801119292253e-05,0.0945078305210888,0.276705721530609,1.174216670404,-6414.90312884779
"35%",0.0203174967083556,9.76412045968827e-05,0.0949662892898128,0.277740747640362,1.17629199848308,-6414.78178072557
"37.5%",0.0203473718288057,0.000107697882783618,0.095430055980412,0.278800752290352,1.17837295662974,-6414.66089116107
"40%",0.0203825567742259,0.000117093833941146,0.0958758191106723,0.279648389881463,1.18072083139856,-6414.5490756114
"42.5%",0.0204164211401381,0.000127847981834778,0.0963444534882712,0.280596393076576,1.18270540934206,-6414.43923523098
"45%",0.020448156276053,0.000138634214768741,0.0968034536792386,0.281523173591913,1.18451599542915,-6414.32753994843
"47.5%",0.0204766687662758,0.000149156657475876,0.0972584663171536,0.282625760498764,1.18652091286537,-6414.22456176835
"50%",0.0205115918766186,0.000157916620995483,0.0977203980144479,0.283699397531429,1.1886161123303,-6414.13113463303
"52.5%",0.0205439586080537,0.000169309229224945,0.098170434109583,0.284609927388761,1.19072287670455,-6414.02771609562
"55%",0.0205788053045507,0.000181544835178489,0.0986288413763532,0.285616440528215,1.19291810658572,-6413.93392711309
"57.5%",0.02061205545735,0.000197693266816523,0.0991139548888438,0.286417430813922,1.19542089801714,-6413.83894330637
"60%",0.0206457236528958,0.000210486032310795,0.099523773050982,0.287473810641915,1.19764046175828,-6413.74772264986
"62.5%",0.020680708043155,0.000224090713328748,0.0999918394685343,0.288533007603875,1.20029896866791,-6413.65614212244
"65%",0.0207147358909581,0.000235681823928401,0.100451038626812,0.289444333302273,1.20265513070446,-6413.56935076401
"67.5%",0.0207501550776515,0.000250538541646508,0.101007824884019,0.290432262318096,1.20512621854582,-6413.47960817108
"70%",0.0207863331519099,0.000269100716069799,0.101543404338247,0.291616488827715,1.20763174840714,-6413.38924070616
"72.5%",0.0208257544421896,0.000288549459151361,0.102095612227125,0.292678798749594,1.21013373926005,-6413.29382964648
"75%",0.0208667266475668,0.000308840910354313,0.102581141131299,0.293738516277511,1.21291246030208,-6413.20693314712
"77.5%",0.0209071338598845,0.000328602363180549,0.103102281882723,0.294837892074003,1.21591756614114,-6413.12192057722
"80%",0.0209560004047132,0.000355054662916934,0.10378732749111,0.2961825409853,1.21892256737293,-6413.01947788728
"82.5%",0.0210031200595306,0.000381078261185367,0.104501100693847,0.297563303524118,1.22203320654086,-6412.91666666559
"85%",0.0210635252561187,0.000410832396959081,0.105238680242157,0.299241126164095,1.22577247430464,-6412.81960099963
"87.5%",0.0211203554391525,0.000442783686967416,0.105997829528016,0.301290419673096,1.2294809136525,-6412.71335408889
"90%",0.021200518396601,0.000484784851187943,0.106925764289224,0.30321804136332,1.23448473028421,-6412.59079110914
"92.5%",0.0212850325880741,0.000548022561381344,0.108139693880442,0.305912093991245,1.23980898489583,-6412.45634119677
"95%",0.0213815770744961,0.000626011552755668,0.109464234359763,0.309246324646528,1.24735972597727,-6412.31109307082
"97.5%",0.0215421398290373,0.00076057428456335,0.111821956961311,0.31403547360917,1.25919374744679,-6412.10683039801
"100%",0.0225463280985628,0.00163422665574628,0.127914467590743,0.343310316445305,1.33948556805895,-6411.54613181036
