# table produced by mapDamage version 2.0.1-10-g0a7fa27-dirty
# using mapped file - and 000_prefixes/Pi_mito.fasta as reference file
# Std: strand of reads
Std	Length	Occurences 
+	24	2
+	25	5
+	26	2
+	27	3
+	28	5
+	29	3
+	30	5
+	31	7
+	32	5
+	33	5
+	34	13
+	35	9
+	36	12
+	37	22
+	38	17
+	39	15
+	40	23
+	41	34
+	42	38
+	43	35
+	44	34
+	45	34
+	46	48
+	47	38
+	48	64
+	49	53
+	50	58
+	51	72
+	52	63
+	53	74
+	54	85
+	55	88
+	56	90
+	57	89
+	58	99
+	59	93
+	60	115
+	61	112
+	62	91
+	63	93
+	64	110
+	65	108
+	66	112
+	67	135
+	68	96
+	69	97
+	70	128
+	71	117
+	72	111
+	73	124
+	74	102
+	75	106
+	76	102
+	77	114
+	78	109
+	79	124
+	80	89
+	81	107
+	82	121
+	83	107
+	84	105
+	85	86
+	86	95
+	87	91
+	88	89
+	89	112
+	90	130
+	91	117
+	92	146
+	93	276
+	94	1415
+	95	62
+	96	64
+	97	45
+	98	56
+	99	65
+	100	62
+	101	42
+	102	45
+	103	44
+	104	46
+	105	36
+	106	55
+	107	40
+	108	46
+	109	37
+	110	57
+	111	38
+	112	36
+	113	42
+	114	24
+	115	44
+	116	49
+	117	41
+	118	37
+	119	30
+	120	28
+	121	41
+	122	31
+	123	39
+	124	31
+	125	28
+	126	35
+	127	34
+	128	28
+	129	30
+	130	29
+	131	28
+	132	31
+	133	25
+	134	21
+	135	28
+	136	25
+	137	24
+	138	25
+	139	21
+	140	12
+	141	26
+	142	19
+	143	16
+	144	23
+	145	16
+	146	11
+	147	21
+	148	9
+	149	18
+	150	25
+	151	9
+	152	15
+	153	10
+	154	17
+	155	12
+	156	13
+	157	14
+	158	11
+	159	9
+	160	11
+	161	6
+	162	6
+	163	7
+	164	5
+	165	7
+	166	2
+	167	1
+	168	5
+	169	12
+	170	3
+	171	5
+	172	3
+	173	6
+	174	5
+	175	5
+	176	4
+	177	4
+	178	2
+	179	1
+	180	2
+	182	1
+	183	1
+	184	5
-	25	2
-	26	3
-	27	5
-	28	3
-	29	7
-	30	2
-	31	8
-	32	6
-	33	5
-	34	9
-	35	8
-	36	11
-	37	13
-	38	25
-	39	27
-	40	21
-	41	22
-	42	25
-	43	29
-	44	44
-	45	43
-	46	54
-	47	53
-	48	64
-	49	59
-	50	73
-	51	85
-	52	68
-	53	83
-	54	93
-	55	90
-	56	93
-	57	93
-	58	101
-	59	93
-	60	113
-	61	103
-	62	103
-	63	114
-	64	110
-	65	134
-	66	89
-	67	108
-	68	120
-	69	126
-	70	113
-	71	110
-	72	92
-	73	120
-	74	113
-	75	118
-	76	108
-	77	118
-	78	117
-	79	118
-	80	118
-	81	92
-	82	94
-	83	103
-	84	101
-	85	98
-	86	88
-	87	103
-	88	131
-	89	105
-	90	102
-	91	108
-	92	133
-	93	294
-	94	1385
-	95	54
-	96	50
-	97	49
-	98	66
-	99	51
-	100	56
-	101	39
-	102	36
-	103	36
-	104	48
-	105	38
-	106	45
-	107	43
-	108	33
-	109	39
-	110	49
-	111	49
-	112	42
-	113	48
-	114	39
-	115	32
-	116	46
-	117	44
-	118	32
-	119	44
-	120	45
-	121	42
-	122	33
-	123	33
-	124	27
-	125	26
-	126	25
-	127	32
-	128	29
-	129	27
-	130	33
-	131	19
-	132	26
-	133	18
-	134	23
-	135	26
-	136	21
-	137	18
-	138	28
-	139	11
-	140	19
-	141	30
-	142	20
-	143	14
-	144	25
-	145	14
-	146	13
-	147	13
-	148	8
-	149	14
-	150	15
-	151	17
-	152	16
-	153	17
-	154	8
-	155	20
-	156	23
-	157	7
-	158	11
-	159	7
-	160	15
-	161	12
-	162	9
-	163	11
-	164	3
-	165	9
-	166	17
-	167	2
-	168	4
-	169	3
-	170	4
-	171	10
-	172	8
-	173	5
-	174	4
-	175	7
-	176	3
-	177	5
-	178	2
-	179	4
-	180	3
-	181	1
-	182	4
-	183	3
-	184	1
-	185	1
