"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0307675987622533,3.64000747201146e-06,0.125539003290109,0.94089482050281,0.23014181712885,-5592.23925194029
"Std.",0.000228622373656015,3.65430651648515e-06,0.219919278993131,0.123552364190705,0.00304727073597524,1.6476329636231
"Acceptance ratio",0.19276,0.1787,0.23344,0.14514,0.19276,0.66608
"0%",0.0299335541610133,2.01553563261446e-09,2.16460301158405e-05,0.0142047917756347,0.218236239523716,-5602.38667086705
"2.5%",0.0303265391267829,9.841767773933e-08,3.23330474660986e-05,0.535834460847276,0.224220821733263,-5596.29164995786
"5%",0.0303965224822254,1.99273358593323e-07,0.000121808161430401,0.671409446195198,0.225191581190517,-5595.42892908928
"7.5%",0.0304404242145742,2.75908616346075e-07,0.000206882201311237,0.752001521995955,0.22579913158644,-5594.87849254501
"10%",0.0304760690205227,3.82458654009558e-07,0.000290203592828547,0.805710159910309,0.226213369417274,-5594.48942857669
"12.5%",0.0305110696193036,4.98470977720514e-07,0.000571016494952753,0.844955129462369,0.226669836500641,-5594.15263479988
"15%",0.0305392061988847,5.87019463182924e-07,0.000590660317341667,0.875928633353708,0.226972547490384,-5593.89368165128
"17.5%",0.0305570499171715,7.13571107244045e-07,0.000668380057399285,0.901355309897942,0.227241179946909,-5593.65120826563
"20%",0.0305748245960631,8.3105190497348e-07,0.000756121831655225,0.920517977061133,0.227548307397738,-5593.45499294176
"22.5%",0.0305948010250572,9.61877725436628e-07,0.000963299090845911,0.933221796339751,0.227761542306625,-5593.2826286295
"25%",0.0306130063778337,1.078396864226e-06,0.00111927813214005,0.947792276978062,0.22805072224532,-5593.10384338078
"27.5%",0.0306284806348928,1.20455464012925e-06,0.00130260593451736,0.9592104657371,0.228282638083664,-5592.95152785741
"30%",0.0306454353017327,1.33077043111214e-06,0.00174824380216085,0.966440306466556,0.228518377403081,-5592.80692899637
"32.5%",0.0306611339739537,1.43458814714646e-06,0.00225247191358638,0.973557608623197,0.228735911009569,-5592.67569425
"35%",0.0306757205485069,1.58042212605839e-06,0.00321994782977357,0.980071444679222,0.228950823949639,-5592.54879473494
"37.5%",0.0306920525161066,1.69589455617463e-06,0.00461142199954145,0.985456011249196,0.229158658014662,-5592.43081741746
"40%",0.0307062821289279,1.80915028134946e-06,0.00571531627240692,0.988221937665653,0.229365876621922,-5592.31679824062
"42.5%",0.0307215984181147,1.95596340740603e-06,0.00827688563189316,0.990342214724375,0.229561657948405,-5592.20198691771
"45%",0.0307358113996207,2.11659790800682e-06,0.0103887692765082,0.992090019205747,0.229737658915546,-5592.09550098677
"47.5%",0.03075212904881,2.28120534314018e-06,0.0130976925313217,0.993767231559973,0.229952619061455,-5592.00216974167
"50%",0.0307657987023219,2.48404223662086e-06,0.0158055172730743,0.995457150944822,0.230145316906325,-5591.90172442002
"52.5%",0.0307789982474753,2.68452313643726e-06,0.0201369554140009,0.996407077622258,0.230306982829053,-5591.80380981184
"55%",0.0307933482094035,2.89386753030994e-06,0.0251891273361784,0.997194024343722,0.230485901560505,-5591.71344070824
"57.5%",0.0308101147163631,3.11795542685734e-06,0.0309989263169072,0.997835531897563,0.230670450178863,-5591.62172530931
"60%",0.0308247708105714,3.33484669898906e-06,0.0387410250296887,0.998394808687207,0.230873303406774,-5591.53749088281
"62.5%",0.0308395755801875,3.57419110188965e-06,0.0465164314021797,0.998676053712034,0.231118612353805,-5591.4487966862
"65%",0.0308533185583761,3.81420384896806e-06,0.0581681916255348,0.998751860740727,0.231369279913685,-5591.36214318211
"67.5%",0.0308685719065837,4.04935457420849e-06,0.071224390749324,0.998833681331178,0.231576740442473,-5591.27250721254
"70%",0.0308838277411926,4.33685104986565e-06,0.0893016217184419,0.998954465674908,0.231785910352873,-5591.19085353198
"72.5%",0.0309016229042858,4.64955044397707e-06,0.112237911489696,0.999222992250115,0.232012294819283,-5591.10292583938
"75%",0.0309197775935492,5.06168516122073e-06,0.13671498761574,0.999396682194613,0.232235219393487,-5591.01988491389
"77.5%",0.030941031952352,5.47211301113921e-06,0.168033100561413,0.999574791137844,0.232472723563385,-5590.93808361988
"80%",0.0309604478658832,5.94890317130806e-06,0.205010928934632,0.999685687855907,0.23269863295317,-5590.85371384655
"82.5%",0.030981219633522,6.37730098903119e-06,0.251639317568055,0.999770718653225,0.233039342206315,-5590.76071207708
"85%",0.031005242119724,6.89000012192111e-06,0.305894762365115,0.999782248951224,0.23332997236024,-5590.66928514007
"87.5%",0.0310311004919976,7.60936599395482e-06,0.375233900721273,0.999855332636154,0.233682187431463,-5590.57051639647
"90%",0.0310630470785648,8.38464865545381e-06,0.45683700994485,0.999856785323536,0.234080692389398,-5590.4716816571
"92.5%",0.0310968323935027,9.44626605444087e-06,0.561826490618011,0.999864498818163,0.234493358199214,-5590.3552720511
"95%",0.0311459121001003,1.07883715883818e-05,0.68988541544079,0.999877091272578,0.23510365942241,-5590.21190528637
"97.5%",0.0312138488199264,1.35070771687872e-05,0.828718552786093,0.99995031932328,0.236096508509822,-5590.01275083771
"100%",0.031669713495139,3.35216766686489e-05,0.999483073394731,0.99995200828286,0.241408557049251,-5589.54047251031
