# table produced by mapDamage version 2.0.1-10-g0a7fa27-dirty
# using mapped file - and 000_prefixes/Pi_nucl.fasta as reference file
# Std: strand of reads
Std	Length	Occurences 
+	25	7
+	26	2
+	27	4
+	28	9
+	29	9
+	30	12
+	31	17
+	32	23
+	33	40
+	34	44
+	35	65
+	36	85
+	37	90
+	38	149
+	39	157
+	40	179
+	41	241
+	42	280
+	43	321
+	44	344
+	45	392
+	46	455
+	47	504
+	48	505
+	49	583
+	50	562
+	51	632
+	52	639
+	53	707
+	54	720
+	55	673
+	56	767
+	57	786
+	58	834
+	59	774
+	60	833
+	61	843
+	62	802
+	63	850
+	64	782
+	65	782
+	66	808
+	67	813
+	68	781
+	69	858
+	70	851
+	71	804
+	72	793
+	73	755
+	74	780
+	75	727
+	76	729
+	77	726
+	78	682
+	79	717
+	80	680
+	81	734
+	82	690
+	83	710
+	84	646
+	85	635
+	86	660
+	87	641
+	88	613
+	89	567
+	90	626
+	91	591
+	92	757
+	93	1045
+	94	5525
+	95	331
+	96	292
+	97	254
+	98	334
+	99	215
+	100	231
+	101	220
+	102	215
+	103	219
+	104	205
+	105	181
+	106	184
+	107	198
+	108	176
+	109	173
+	110	149
+	111	152
+	112	151
+	113	137
+	114	155
+	115	150
+	116	159
+	117	135
+	118	122
+	119	116
+	120	108
+	121	110
+	122	116
+	123	117
+	124	97
+	125	92
+	126	110
+	127	99
+	128	86
+	129	78
+	130	64
+	131	74
+	132	72
+	133	54
+	134	51
+	135	60
+	136	54
+	137	70
+	138	41
+	139	38
+	140	49
+	141	37
+	142	36
+	143	40
+	144	34
+	145	38
+	146	36
+	147	30
+	148	22
+	149	34
+	150	36
+	151	31
+	152	26
+	153	24
+	154	24
+	155	23
+	156	13
+	157	21
+	158	19
+	159	13
+	160	10
+	161	12
+	162	10
+	163	15
+	164	10
+	165	12
+	166	8
+	167	11
+	168	7
+	169	7
+	170	12
+	171	7
+	172	4
+	173	6
+	174	6
+	175	7
+	176	6
+	177	10
+	178	6
+	179	5
+	180	3
+	181	2
+	182	2
+	183	5
+	184	2
+	185	4
-	25	2
-	26	4
-	27	8
-	28	3
-	29	2
-	30	13
-	31	16
-	32	13
-	33	36
-	34	45
-	35	64
-	36	85
-	37	93
-	38	138
-	39	161
-	40	197
-	41	252
-	42	264
-	43	305
-	44	371
-	45	421
-	46	474
-	47	488
-	48	531
-	49	525
-	50	624
-	51	612
-	52	650
-	53	675
-	54	690
-	55	728
-	56	735
-	57	792
-	58	796
-	59	816
-	60	858
-	61	781
-	62	810
-	63	832
-	64	856
-	65	814
-	66	831
-	67	796
-	68	807
-	69	845
-	70	772
-	71	789
-	72	771
-	73	743
-	74	757
-	75	777
-	76	751
-	77	723
-	78	688
-	79	738
-	80	699
-	81	713
-	82	707
-	83	683
-	84	719
-	85	646
-	86	574
-	87	639
-	88	650
-	89	614
-	90	594
-	91	685
-	92	760
-	93	917
-	94	5535
-	95	318
-	96	261
-	97	228
-	98	335
-	99	249
-	100	243
-	101	217
-	102	219
-	103	195
-	104	204
-	105	198
-	106	199
-	107	176
-	108	176
-	109	173
-	110	178
-	111	138
-	112	171
-	113	154
-	114	133
-	115	147
-	116	143
-	117	128
-	118	117
-	119	120
-	120	102
-	121	102
-	122	111
-	123	99
-	124	91
-	125	80
-	126	80
-	127	89
-	128	88
-	129	68
-	130	70
-	131	81
-	132	57
-	133	78
-	134	72
-	135	59
-	136	60
-	137	59
-	138	63
-	139	41
-	140	63
-	141	36
-	142	42
-	143	43
-	144	31
-	145	38
-	146	28
-	147	30
-	148	29
-	149	21
-	150	20
-	151	24
-	152	16
-	153	19
-	154	12
-	155	21
-	156	19
-	157	11
-	158	8
-	159	12
-	160	14
-	161	11
-	162	13
-	163	16
-	164	9
-	165	14
-	166	5
-	167	18
-	168	12
-	169	17
-	170	12
-	171	7
-	172	3
-	173	3
-	174	6
-	175	4
-	176	6
-	177	6
-	178	7
-	179	6
-	180	3
-	182	2
-	183	1
-	184	4
-	185	3
