"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0255637285544568,5.06160721101857e-06,0.123783490957086,0.924381095789362,0.270072237263071,-4504.6592679494
"Std.",0.00020773818027736,5.06923796568598e-06,0.219987940508823,0.14171111138312,0.003674022778329,1.65805945479885
"Acceptance ratio",0.17654,0.1272,0.22898,0.17904,0.22946,0.67114
"0%",0.024665072945494,8.05552783857713e-10,9.03755652013286e-06,0.00814603818947418,0.255149110336801,-4516.2026359026
"2.5%",0.0251624086644525,1.4953851393464e-07,9.2270053967526e-05,0.487342899589896,0.2628105788838,-4508.77775348364
"5%",0.0252209617016033,2.71120536177025e-07,0.000270342134186839,0.601978853619506,0.26410106152641,-4507.84680409711
"7.5%",0.0252619103139905,4.15251608396266e-07,0.000284591897971833,0.677275085512289,0.264825076095329,-4507.28021150402
"10%",0.025295957136261,5.46024691031562e-07,0.000416257377655972,0.745060466626702,0.265458286207262,-4506.88466144796
"12.5%",0.0253241317004649,6.89781519204e-07,0.000650360764823055,0.792459018830076,0.265939866852691,-4506.56730351932
"15%",0.0253479860639935,8.67211154579624e-07,0.000950674202993887,0.830829036699038,0.26630477139417,-4506.30923999026
"17.5%",0.0253685117781895,1.04201631734832e-06,0.00125248392768823,0.861828260092543,0.26666397325067,-4506.07234608002
"20%",0.0253863990644583,1.19721567566252e-06,0.00147605304920502,0.887103638696215,0.267041934254092,-4505.87181882387
"22.5%",0.0254051674357453,1.37016971274831e-06,0.00192413411694901,0.90915426038242,0.267345630468217,-4505.68549024208
"25%",0.0254205037605352,1.52658401149835e-06,0.00256619503817065,0.925856112756371,0.267620223896294,-4505.51283023082
"27.5%",0.0254376786028866,1.67926121693856e-06,0.00283140755608328,0.939895570337305,0.267935826249091,-4505.36167617519
"30%",0.0254537931368866,1.83781303131733e-06,0.00360320072462356,0.949688248146985,0.268203356422721,-4505.21269430712
"32.5%",0.0254691428973077,2.00079800809324e-06,0.00459969687949287,0.958599979459329,0.268413022461792,-4505.07601247191
"35%",0.0254856499246643,2.18510812684841e-06,0.0058760199511598,0.965960260004011,0.268636082196345,-4504.95102359296
"37.5%",0.0254987140953115,2.38047824763999e-06,0.00727189412162522,0.972036817976132,0.268876205283445,-4504.82611743105
"40%",0.0255108187812353,2.55949132073897e-06,0.00877047812010047,0.977100210108153,0.269100563020757,-4504.71713769471
"42.5%",0.0255236393437617,2.74431552691424e-06,0.0106434403254753,0.980701313472598,0.269333761875072,-4504.61368532485
"45%",0.0255362557493368,3.03174946367668e-06,0.0126162008583666,0.983660819069898,0.269543727455198,-4504.51615089427
"47.5%",0.0255493855868092,3.22976860829391e-06,0.0152717218940989,0.985971369759664,0.269743539017027,-4504.42508785173
"50%",0.0255638659536853,3.47872213081413e-06,0.0184792608762247,0.988328283707403,0.269980635967478,-4504.32450584886
"52.5%",0.0255753966770517,3.72816378127789e-06,0.0213385070754737,0.989962800733263,0.270193268420946,-4504.23406846511
"55%",0.025587208307857,4.01697153892875e-06,0.0255910838133896,0.991947078609875,0.27046531022785,-4504.14121772064
"57.5%",0.025601269230345,4.3029623096571e-06,0.0290577366281189,0.993607666795162,0.270688159386879,-4504.04851398106
"60%",0.0256157470653088,4.59868297252143e-06,0.0350449652235089,0.995068074180815,0.270943057155364,-4503.96754635385
"62.5%",0.0256289795137046,4.92634369847614e-06,0.0429431832400187,0.995631509364139,0.271194000077319,-4503.88079419472
"65%",0.0256440033794414,5.26536818934233e-06,0.054484787768161,0.996266136756598,0.27146808137544,-4503.79808200037
"67.5%",0.0256606328184136,5.66660895863506e-06,0.0662595634070728,0.996838249204934,0.271713430189119,-4503.70607717894
"70%",0.0256754162236362,6.15594461468446e-06,0.0826303691687441,0.997500670898713,0.272006761444803,-4503.62154139243
"72.5%",0.0256903023961532,6.54827810848628e-06,0.103772327510094,0.997965960366473,0.272261970883793,-4503.54123153086
"75%",0.0257048873939394,7.05243539380971e-06,0.126851494570225,0.998519814564963,0.272579715389786,-4503.44989886693
"77.5%",0.0257216625461927,7.61235302736584e-06,0.15340192938571,0.99880991236194,0.272867601586877,-4503.35880983007
"80%",0.0257403440872491,8.16903819634408e-06,0.189350782585554,0.999089218110281,0.273156849863882,-4503.2687304658
"82.5%",0.0257604253259579,8.79465926138546e-06,0.237635833608678,0.999320908918255,0.273502626927723,-4503.17881133666
"85%",0.0257831686781429,9.456792094594e-06,0.292240110928434,0.999483964044587,0.273868866219534,-4503.08135663454
"87.5%",0.0258037984771969,1.0429313082909e-05,0.362188648018939,0.999627505662009,0.274295685285882,-4502.98062540346
"90%",0.0258281769273818,1.15882742215076e-05,0.452762413688893,0.999688361500281,0.274798946731039,-4502.87565980961
"92.5%",0.0258633846524385,1.29824768365931e-05,0.564514560522541,0.999824043933224,0.275423475542222,-4502.75653538778
"95%",0.0259061087802089,1.50620604466877e-05,0.688753292219776,0.99989742020698,0.276181359107467,-4502.61209051411
"97.5%",0.0259730868640328,1.88464125918366e-05,0.833995010240257,0.999957894773813,0.277388011526398,-4502.4387341569
"100%",0.0263024974746344,5.39207283957985e-05,0.999969652698085,0.999983019755541,0.284507650739632,-4501.92353409552
