ID	M.0182896.NO.UDG	M.0182896.UDG	M.0182896.UDGa	M.0182896.UDGb	M.0182896.UDGc	Pi1845A.id.CGCTAT	Pi1889.id.CTTGTA	Pi1889.id.GGCTAC	Pi1889.id.TAGCTT
k__Bacteria	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
k__Bacteria|p__Actinobacteria	0.0	0.0	0.04899	0.0284	0.03984	65.96496	4.45534	4.20686	4.47192
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.0	0.0	0.04899	0.0284	0.03984	65.96496	4.45534	4.20686	4.47192
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.0	0.0	0.04899	0.0284	0.03984	45.69488	4.45534	4.20686	4.45915
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae	0.0	0.0	0.0	0.0	0.0	26.96627	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae|g__Brevibacterium	0.0	0.0	0.0	0.0	0.0	26.96627	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_linens	0.0	0.0	0.0	0.0	0.0	26.96627	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Frankiaceae	0.0	0.0	0.0	0.0	0.0	3.21437	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Frankiaceae|g__Frankia	0.0	0.0	0.0	0.0	0.0	3.21437	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Frankiaceae|g__Frankia|s__Frankia_unclassified	0.0	0.0	0.0	0.0	0.0	3.21437	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Kineosporiaceae	0.0	0.0	0.04013	0.0284	0.03019	1.17813	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Kineosporiaceae|g__Kineococcus	0.0	0.0	0.04013	0.0284	0.03019	1.17813	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Kineosporiaceae|g__Kineococcus|s__Kineococcus_radiotolerans	0.0	0.0	0.04013	0.0284	0.03019	1.17813	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	0.0	0.0	0.0	0.0	0.0	10.63463	4.39765	4.1946	4.45241
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Arthrobacter	0.0	0.0	0.0	0.0	0.0	10.63463	4.31343	4.14533	4.39643
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Arthrobacter|s__Arthrobacter_arilaitensis	0.0	0.0	0.0	0.0	0.0	0.0	4.31343	4.14533	4.39643
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Arthrobacter|s__Arthrobacter_phenanthrenivorans	0.0	0.0	0.0	0.0	0.0	0.63377	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Arthrobacter|s__Arthrobacter_unclassified	0.0	0.0	0.0	0.0	0.0	10.00086	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Micrococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.08422	0.04927	0.05598
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Micrococcus|s__Micrococcus_luteus	0.0	0.0	0.0	0.0	0.0	0.0	0.08422	0.04927	0.05598
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Mycobacteriaceae	0.0	0.0	0.00887	0.0	0.00965	3.18891	0.05769	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Mycobacteriaceae|g__Mycobacterium	0.0	0.0	0.00887	0.0	0.00965	3.18891	0.05769	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium_unclassified	0.0	0.0	0.00887	0.0	0.00965	3.18891	0.05769	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	0.0	0.0	0.0	0.0	0.0	0.51258	0.0	0.01226	0.00674
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium	0.0	0.0	0.0	0.0	0.0	0.51258	0.0	0.01226	0.00674
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	0.0	0.0	0.0	0.0	0.0	0.31543	0.0	0.01226	0.00674
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_unclassified	0.0	0.0	0.0	0.0	0.0	0.19714	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.0	0.0	0.0	0.0	0.0	0.28072	0.0	0.0	0.01277
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.28072	0.0	0.0	0.01277
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	0.0	0.0	0.0	0.0	0.0	0.28072	0.0	0.0	0.01277
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_unclassified	0.0	0.0	0.0	0.0	0.0	0.28072	0.0	0.0	0.01277
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.0	0.0	0.0	0.0	0.0	19.98936	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.0	0.0	0.0	0.0	0.0	19.98936	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	0.0	0.0	0.0	0.0	0.0	19.98936	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_intestinalis	0.0	0.0	0.0	0.0	0.0	19.98936	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes	0.0	0.0	0.0	0.0	0.01393	1.14119	0.04059	0.14525	0.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteria	0.0	0.0	0.0	0.0	0.0	1.14119	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteria|o__Flavobacteriales	0.0	0.0	0.0	0.0	0.0	1.14119	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteria|o__Flavobacteriales|f__Flavobacteriales_uncl	0.0	0.0	0.0	0.0	0.0	1.14119	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteria|o__Flavobacteriales|f__Flavobacteriales_uncl|g__Candidatus_Sulcia	0.0	0.0	0.0	0.0	0.0	1.14119	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteria|o__Flavobacteriales|f__Flavobacteriales_uncl|g__Candidatus_Sulcia|s__Candidatus_Sulcia_muelleri	0.0	0.0	0.0	0.0	0.0	1.14119	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteria	0.0	0.0	0.0	0.0	0.01393	0.0	0.04059	0.14525	0.0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteria|o__Sphingobacteriales	0.0	0.0	0.0	0.0	0.01393	0.0	0.04059	0.14525	0.0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteria|o__Sphingobacteriales|f__Sphingobacteriaceae	0.0	0.0	0.0	0.0	0.01393	0.0	0.04059	0.14525	0.0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteria|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Sphingobacteriaceae_unclassified	0.0	0.0	0.0	0.0	0.01393	0.0	0.04059	0.14525	0.0
k__Bacteria|p__Chloroflexi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03753
k__Bacteria|p__Chloroflexi|c__Thermomicrobia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03753
k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Thermomicrobia_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03753
k__Bacteria|p__Firmicutes	0.0	0.0	0.0	0.0	0.0	0.0	11.00357	11.52692	10.9544
k__Bacteria|p__Firmicutes|c__Bacilli	0.0	0.0	0.0	0.0	0.0	0.0	11.00357	11.52692	10.9544
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.0	0.0	0.0	0.0	0.0	0.0	11.00357	11.52692	10.9544
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_uncl	0.0	0.0	0.0	0.0	0.0	0.0	11.00357	11.52692	10.9544
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_uncl|g__Exiguobacterium	0.0	0.0	0.0	0.0	0.0	0.0	11.00357	11.52692	10.9544
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_uncl|g__Exiguobacterium|s__Exiguobacterium_sibiricum	0.0	0.0	0.0	0.0	0.0	0.0	11.00357	11.52692	10.9544
k__Bacteria|p__Proteobacteria	100.0	100.0	99.95101	99.9716	99.94623	32.89385	84.5005	84.12097	84.53615
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	0.0	0.0	0.04162	0.0	0.05045	15.74193	0.16176	0.11248	0.32243
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	0.0	0.0	0.0	0.0	0.0	1.20722	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae	0.0	0.0	0.0	0.0	0.0	1.20722	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter	0.0	0.0	0.0	0.0	0.0	1.20722	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter|s__Caulobacter_unclassified	0.0	0.0	0.0	0.0	0.0	1.20722	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales	0.0	0.0	0.04162	0.0	0.05045	12.12615	0.16176	0.11248	0.32243
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Aurantimonadaceae	0.0	0.0	0.0	0.0	0.0	5.29625	0.07227	0.02813	0.19676
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Aurantimonadaceae|g__Aurantimonadaceae_unclassified	0.0	0.0	0.0	0.0	0.0	5.29625	0.07227	0.02813	0.19676
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methylobacteriaceae	0.0	0.0	0.04162	0.0	0.05045	6.02952	0.08949	0.08435	0.12566
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methylobacteriaceae|g__Methylobacterium	0.0	0.0	0.04162	0.0	0.05045	6.02952	0.08949	0.08435	0.12566
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methylobacteriaceae|g__Methylobacterium|s__Methylobacterium_radiotolerans	0.0	0.0	0.0	0.0	0.0	0.66482	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methylobacteriaceae|g__Methylobacterium|s__Methylobacterium_unclassified	0.0	0.0	0.04162	0.0	0.05045	5.3647	0.08949	0.08435	0.12566
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methylocystaceae	0.0	0.0	0.0	0.0	0.0	0.80038	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methylocystaceae|g__Methylocystaceae_unclassified	0.0	0.0	0.0	0.0	0.0	0.80038	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	0.0	0.0	0.0	0.0	0.0	0.92557	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae	0.0	0.0	0.0	0.0	0.0	0.92557	0.0	0.0	0.0
