"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0353247262810716,0.0120056631352868,0.68830957920536,0.450531698607925,1.35530165011763,-3588.39463960137
"Std.",0.00123264859239703,0.00178777749242283,0.0671725262456258,0.0286440689602494,0.0519794670889325,1.59529854648417
"Acceptance ratio",0.25838,0.20898,0.28128,0.24034,0.20626,0.74362
"0%",0.029888147224448,0.00488609937116802,0.481461863173078,0.342249232681536,1.15856818551238,-3599.88386940088
"2.5%",0.0329502426202131,0.00852040724856606,0.564020806511152,0.393870552293629,1.25546506861429,-3592.33322126135
"5%",0.0333174893910754,0.00907681641020517,0.583523944476592,0.403248502456898,1.27307869018027,-3591.50129561233
"7.5%",0.0335548237315506,0.0094169459910274,0.596021185874996,0.409341274553994,1.28195867876141,-3590.97529431902
"10%",0.0337521437413037,0.0096672968176017,0.604334875846859,0.413997549786242,1.28985172782242,-3590.57009093198
"12.5%",0.0339311684297594,0.00994299969309089,0.612084785192734,0.417492439493557,1.29588183333274,-3590.25259235704
"15%",0.0340659159382996,0.010157678469132,0.618839958754248,0.420948673033576,1.30121297177646,-3590.00407421107
"17.5%",0.0341864504612079,0.0103506691526436,0.625336439912267,0.423647351721345,1.30591847135777,-3589.77222778895
"20%",0.0342948302107096,0.0105284487400531,0.631310685912784,0.426333670808574,1.31083145380692,-3589.56805682028
"22.5%",0.0343949241393155,0.010687005024058,0.636701105161997,0.429327242602347,1.31507138791644,-3589.39212769839
"25%",0.0344931365806977,0.0108273933443365,0.641899097720293,0.43163593515298,1.31927898414344,-3589.23069583357
"27.5%",0.0345920644481567,0.0109558154084488,0.64731896873798,0.433639568236988,1.32327308736114,-3589.07800452081
"30%",0.0346718449453998,0.0110928187237064,0.651754657709076,0.435600998450303,1.3273401286916,-3588.93559312256
"32.5%",0.0347579230376398,0.0112184502583839,0.656261192319392,0.437684650642377,1.33079460831211,-3588.80709055579
"35%",0.0348304098648816,0.0113416259336938,0.6600479589172,0.439769704632638,1.33412413390854,-3588.68482553192
"37.5%",0.0349078389708162,0.011467737618298,0.66458375602569,0.441634200654078,1.33745587125008,-3588.57203317072
"40%",0.0349900068418811,0.0115739088775452,0.668871538304025,0.443502284210756,1.34075601639796,-3588.46156569467
"42.5%",0.035069799668674,0.0116795727685291,0.672787648238453,0.445300751268841,1.34432528976673,-3588.36024826855
"45%",0.0351468379329859,0.0117871815290473,0.676568257580942,0.44696987523199,1.34752196509927,-3588.26308770728
"47.5%",0.0352246848374282,0.0118999843403286,0.680665832039293,0.448789793864726,1.35170297047418,-3588.16048011103
"50%",0.0352996750341185,0.0120100804405603,0.684805897336962,0.450369295745996,1.35525869044293,-3588.06576365923
"52.5%",0.0353864015489717,0.012115908126892,0.689056390312562,0.452167893576017,1.35829725358393,-3587.97664163814
"55%",0.0354485459788375,0.0122103584072614,0.693977259475581,0.454038702187109,1.36120027096822,-3587.89062245982
"57.5%",0.035527496370983,0.0123260149227918,0.698488720940029,0.455891244925344,1.36435776211979,-3587.80203640706
"60%",0.0356160963300237,0.0124350316878456,0.702694821168892,0.457607991307771,1.36768535515704,-3587.71439470118
"62.5%",0.0356919133057753,0.0125455154454831,0.706551246398867,0.45940586426271,1.37084481250756,-3587.62824810683
"65%",0.0357795768077512,0.0126634784572666,0.711315224733285,0.4612585142347,1.37425411748014,-3587.54357181772
"67.5%",0.0358658995026783,0.0127781280392962,0.715661542922403,0.463078031939274,1.37787881071443,-3587.46033932866
"70%",0.0359547629512711,0.0129071943161274,0.720313974755412,0.465331621094115,1.38152767176453,-3587.37646748431
"72.5%",0.0360509986431579,0.013030450077465,0.725549549426627,0.467318173697497,1.38563849656139,-3587.29562985739
"75%",0.0361407957654486,0.013168405658164,0.731256297034345,0.469729787729288,1.38920292707737,-3587.20948273977
"77.5%",0.0362324652307982,0.0133378621646039,0.737517326486231,0.472166085501515,1.39349834646824,-3587.12766057701
"80%",0.036354002010535,0.0135110752482325,0.743550987268797,0.474601907446987,1.39811975158303,-3587.0413784765
"82.5%",0.0364839704227105,0.0136571660573498,0.750749441121369,0.477636713534998,1.40353147977674,-3586.9533381586
"85%",0.0366123242144472,0.0138470168706744,0.757609498451292,0.480351134103696,1.40892624577859,-3586.8584273364
"87.5%",0.0367508799707016,0.0140612885181516,0.765880817608254,0.483473332846736,1.41471400273166,-3586.76698930675
"90%",0.0369208189809193,0.0143213230995774,0.776298015325283,0.487678970055504,1.42160945477572,-3586.66852869822
"92.5%",0.0371177432000424,0.0146094648645714,0.787650434212691,0.492109353883736,1.43051176599258,-3586.5607064473
"95%",0.0373536626623941,0.0149801193246185,0.802733949273462,0.49760826052228,1.44327357214819,-3586.42996262641
"97.5%",0.0377828946837914,0.0154927199649422,0.827090069375237,0.505756270812937,1.46238185517316,-3586.28169372246
"100%",0.0404558096993849,0.018923158260011,0.991874636882701,0.55928319829257,1.62679161539921,-3585.90246411386
