"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0176069843775655,0.00235139735300914,0.0878896967853244,0.296676783863304,0.474867717423335,-5093.9170804141
"Std.",0.000227067079965104,0.000339544541505685,0.00275178147070993,0.0117130516060914,0.00766398224871813,1.56492340204832
"Acceptance ratio",0.26114,0.19374,0.1986,0.15906,0.18356,0.66956
"0%",0.0167345313107573,0.00102420556627437,0.0774144881337502,0.251702910789381,0.449110152725067,-5106.55219967874
"2.5%",0.0171619604347919,0.00164969043119911,0.0825683166577122,0.273880960542525,0.460061090341875,-5097.79546463438
"5%",0.0172328223823462,0.00177281387120728,0.0834517153589275,0.277511783962876,0.462508707297191,-5096.89507427876
"7.5%",0.0172842087256627,0.00185350324849776,0.0839927997792689,0.279588290901854,0.464044957059467,-5096.37706965011
"10%",0.0173158030479297,0.00190743850942571,0.0843601266113926,0.281522824402029,0.465180864538734,-5096.02677550001
"12.5%",0.0173458553038652,0.00195334464955561,0.0847422673869833,0.282920439584945,0.466169438871407,-5095.71880603032
"15%",0.0173709667625123,0.00199892371521307,0.0850421572329836,0.284380003355435,0.46697509355143,-5095.45884771958
"17.5%",0.0173935654026147,0.00203600217141516,0.0852934323762461,0.285501577917916,0.467694211254173,-5095.24001787641
"20%",0.0174149163812505,0.00207276511012261,0.0855577195486027,0.286761928273496,0.468433145296931,-5095.03144478598
"22.5%",0.0174344650736615,0.00210638849970845,0.0857820911717155,0.287784393458378,0.468955855258768,-5094.85738323919
"25%",0.0174529458945399,0.00213352194735953,0.0860194765488325,0.288848931608037,0.469582200167971,-5094.70812677603
"27.5%",0.0174691512248804,0.00216428128572716,0.086242464772388,0.289801392550922,0.470131416534215,-5094.56744580941
"30%",0.0174845698894279,0.0021893673715819,0.0864086658993715,0.290614428065072,0.470771463229017,-5094.43083786042
"32.5%",0.0175015521404108,0.00221209322535398,0.0866255858018227,0.291457620893595,0.471386076740115,-5094.31045549635
"35%",0.0175169472942416,0.00223491728621757,0.0867927601988026,0.292243875706537,0.471889768435041,-5094.19069842525
"37.5%",0.0175326321892892,0.00225753420156304,0.0869454602750707,0.292902466210741,0.472350523409417,-5094.07627537489
"40%",0.0175486240660267,0.00227664365176326,0.0871085888357103,0.29379306938455,0.472851293728451,-5093.97324310556
"42.5%",0.017563289712117,0.00229888372869506,0.0872866615571048,0.294480473434693,0.473301620828878,-5093.87548033895
"45%",0.017577869750938,0.00231853403957182,0.0874761503329861,0.295140105754977,0.473775114968223,-5093.77990128724
"47.5%",0.0175921025161064,0.00233711232267054,0.0876389058189423,0.295950017110231,0.474309635627782,-5093.68429638464
"50%",0.0176077204550503,0.00235657667046353,0.0878351578775717,0.2967030451107,0.474781190194523,-5093.6001679804
"52.5%",0.0176225288821868,0.0023785648943985,0.0880097793805924,0.297577868285476,0.475227693205912,-5093.51227469824
"55%",0.0176363834695044,0.00240021319200171,0.0881840652575716,0.298276655997764,0.475707171570351,-5093.42398254033
"57.5%",0.0176516066873216,0.00241778491589933,0.0883831635844075,0.298990142711596,0.476115007494677,-5093.33642092691
"60%",0.0176659056228047,0.00243749665607039,0.0885708556527009,0.29957661115566,0.476597438763165,-5093.25661082432
"62.5%",0.0176821433618888,0.00246166826154538,0.0887362376275482,0.30026400425628,0.477114204301859,-5093.17549026845
"65%",0.0176995406913664,0.00248159008317669,0.0889258871935799,0.301150993212104,0.477634727756382,-5093.09384279743
"67.5%",0.0177146324605405,0.00250747216232732,0.0891324333098413,0.301983301054059,0.478193209149032,-5093.01606297621
"70%",0.0177280522387879,0.00253024108566189,0.0893516688286586,0.302640832648195,0.478723299274607,-5092.9364402797
"72.5%",0.0177466522010596,0.00255203580687264,0.0895563992965914,0.303690644935786,0.47932329856428,-5092.8549218301
"75%",0.0177630149595609,0.00257891524188314,0.0897776364626582,0.304521253715916,0.479965928152191,-5092.76875986779
"77.5%",0.017781482671515,0.00260644649104885,0.0899742365239343,0.305584762246086,0.480647104184841,-5092.68824097671
"80%",0.0177989598192868,0.00263881363971679,0.0902466858457065,0.306801349520659,0.481316329060981,-5092.60658045786
"82.5%",0.0178192443000559,0.00267286929444296,0.0904918237844304,0.307757691121337,0.482017517466379,-5092.52549280321
"85%",0.0178429472859676,0.00270661895898183,0.0907639027599105,0.308726025724075,0.482885656298225,-5092.42914804343
"87.5%",0.0178652938756097,0.00274616613420397,0.091091707565661,0.310302675528649,0.483808436953886,-5092.33846992759
"90%",0.0178990901876382,0.00278139119450408,0.0914614783059502,0.311628587551786,0.484812245286338,-5092.24760184729
"92.5%",0.0179367083155157,0.00283097916172655,0.0919290651474338,0.313638361395002,0.486029721699754,-5092.13556161618
"95%",0.0179786391276352,0.00289231010450458,0.0925332231672703,0.315758312610741,0.487619250882804,-5092.00618346186
"97.5%",0.0180439450407181,0.00299983244399644,0.0933409650959394,0.319435155541676,0.490203954444395,-5091.85516929001
"100%",0.0184511883838814,0.00352122736948409,0.0998974265079864,0.337694979297343,0.505547033954819,-5091.50108256668
