# table produced by mapDamage version 2.0.1-10-g0a7fa27-dirty
# using mapped file - and 000_prefixes/Pi_nucl.fasta as reference file
# Std: strand of reads
Std	Length	Occurences 
+	24	27
+	25	133
+	26	94
+	27	90
+	28	99
+	29	110
+	30	107
+	31	145
+	32	179
+	33	178
+	34	217
+	35	266
+	36	299
+	37	354
+	38	388
+	39	414
+	40	516
+	41	526
+	42	601
+	43	668
+	44	714
+	45	760
+	46	891
+	47	897
+	48	872
+	49	910
+	50	973
+	51	1034
+	52	1075
+	53	1056
+	54	1089
+	55	1115
+	56	1109
+	57	1161
+	58	1070
+	59	1078
+	60	1062
+	61	1062
+	62	1017
+	63	1042
+	64	1085
+	65	903
+	66	939
+	67	969
+	68	861
+	69	933
+	70	901
+	71	841
+	72	813
+	73	877
+	74	775
+	75	754
+	76	697
+	77	680
+	78	638
+	79	602
+	80	617
+	81	548
+	82	568
+	83	540
+	84	529
+	85	456
+	86	395
+	87	408
+	88	378
+	89	234
+	90	263
+	91	372
+	92	452
+	93	642
+	94	5115
+	95	56
+	96	8
+	97	5
+	98	4
+	99	2
-	23	1
-	24	12
-	25	108
-	26	130
-	27	95
-	28	111
-	29	126
-	30	104
-	31	148
-	32	169
-	33	207
-	34	204
-	35	271
-	36	349
-	37	346
-	38	380
-	39	437
-	40	538
-	41	540
-	42	594
-	43	684
-	44	664
-	45	822
-	46	799
-	47	839
-	48	912
-	49	967
-	50	961
-	51	970
-	52	1019
-	53	1083
-	54	1019
-	55	1035
-	56	1047
-	57	1055
-	58	1101
-	59	1037
-	60	1101
-	61	1044
-	62	984
-	63	981
-	64	1026
-	65	950
-	66	947
-	67	939
-	68	909
-	69	895
-	70	838
-	71	795
-	72	788
-	73	781
-	74	722
-	75	722
-	76	696
-	77	682
-	78	660
-	79	577
-	80	587
-	81	628
-	82	548
-	83	562
-	84	549
-	85	453
-	86	469
-	87	411
-	88	420
-	89	265
-	90	259
-	91	367
-	92	473
-	93	594
-	94	5158
-	95	65
-	96	12
-	98	1
