# table produced by mapDamage version 2.0.1-10-g0a7fa27-dirty
# using mapped file - and 000_prefixes/Pi_nucl.fasta as reference file
# Std: strand of reads
Std	Length	Occurences 
+	23	4
+	24	39
+	25	171
+	26	198
+	27	131
+	28	150
+	29	159
+	30	166
+	31	177
+	32	197
+	33	232
+	34	291
+	35	363
+	36	384
+	37	422
+	38	500
+	39	584
+	40	659
+	41	674
+	42	763
+	43	770
+	44	857
+	45	893
+	46	926
+	47	1000
+	48	1020
+	49	1036
+	50	1104
+	51	1089
+	52	1084
+	53	1125
+	54	1098
+	55	1158
+	56	1100
+	57	1065
+	58	1023
+	59	987
+	60	974
+	61	917
+	62	859
+	63	872
+	64	798
+	65	803
+	66	717
+	67	723
+	68	887
+	69	1073
+	70	2151
+	71	933
+	72	1471
+	73	1506
+	74	590
+	75	450
+	76	420
+	77	444
+	78	381
+	79	360
+	80	352
+	81	291
+	82	266
+	83	311
+	84	249
+	85	251
+	86	210
+	87	240
+	88	190
+	89	171
+	90	175
+	91	145
+	92	149
+	93	136
+	94	370
+	95	86
+	96	81
+	97	74
+	98	107
+	99	81
+	100	60
+	101	68
+	102	62
+	103	53
+	104	46
+	105	36
+	106	40
+	107	41
+	108	48
+	109	31
+	110	31
+	111	26
+	112	24
+	113	26
+	114	17
+	115	16
+	116	24
+	117	15
+	118	32
+	119	24
+	120	17
+	121	12
+	122	7
+	123	13
+	124	14
+	125	18
+	126	7
+	127	12
+	128	9
+	129	15
+	130	12
+	131	14
+	132	9
+	133	10
+	134	5
+	135	3
+	136	3
+	137	4
+	138	4
+	139	8
+	140	3
+	141	2
+	142	4
+	143	4
+	144	2
+	145	4
+	146	2
+	147	2
+	148	3
+	149	1
+	150	1
+	152	1
+	153	7
+	154	3
+	155	1
+	156	3
+	157	3
+	158	2
+	161	2
+	163	3
+	164	1
+	167	2
+	168	2
+	169	1
+	170	1
+	172	1
+	173	2
+	174	2
+	178	1
+	179	1
+	183	2
-	23	4
-	24	40
-	25	193
-	26	190
-	27	162
-	28	165
-	29	150
-	30	175
-	31	175
-	32	230
-	33	243
-	34	302
-	35	379
-	36	360
-	37	435
-	38	499
-	39	564
-	40	657
-	41	690
-	42	785
-	43	789
-	44	820
-	45	953
-	46	902
-	47	960
-	48	1034
-	49	1024
-	50	998
-	51	1105
-	52	1062
-	53	1138
-	54	1121
-	55	1048
-	56	1050
-	57	1060
-	58	1044
-	59	1026
-	60	941
-	61	953
-	62	933
-	63	857
-	64	797
-	65	815
-	66	720
-	67	772
-	68	898
-	69	1031
-	70	2198
-	71	1007
-	72	1474
-	73	1506
-	74	631
-	75	477
-	76	407
-	77	398
-	78	378
-	79	373
-	80	371
-	81	332
-	82	302
-	83	288
-	84	261
-	85	222
-	86	219
-	87	217
-	88	208
-	89	197
-	90	151
-	91	156
-	92	156
-	93	126
-	94	370
-	95	87
-	96	95
-	97	83
-	98	115
-	99	80
-	100	70
-	101	53
-	102	51
-	103	48
-	104	41
-	105	47
-	106	37
-	107	36
-	108	43
-	109	32
-	110	35
-	111	26
-	112	23
-	113	24
-	114	28
-	115	22
-	116	24
-	117	13
-	118	18
-	119	15
-	120	16
-	121	11
-	122	15
-	123	12
-	124	13
-	125	13
-	126	20
-	127	10
-	128	14
-	129	10
-	130	7
-	131	12
-	132	12
-	133	12
-	134	7
-	135	6
-	136	4
-	137	6
-	138	4
-	139	4
-	140	3
-	141	2
-	142	8
-	144	3
-	145	3
-	146	1
-	147	2
-	148	1
-	150	3
-	151	6
-	152	3
-	153	2
-	155	1
-	157	3
-	158	2
-	159	2
-	160	2
-	161	2
-	164	1
-	166	1
-	167	1
-	169	1
-	170	3
-	171	2
-	172	1
-	173	1
-	174	1
-	176	1
-	177	1
-	179	1
-	180	1
