# table produced by mapDamage version 2.0.1-10-g0a7fa27-dirty
# using mapped file - and 000_prefixes/Pi_mito.fasta as reference file
# Std: strand of reads
Std	Length	Occurences 
+	24	1
+	25	3
+	26	4
+	27	4
+	28	4
+	29	3
+	30	3
+	31	8
+	32	9
+	33	10
+	34	12
+	35	5
+	36	7
+	37	24
+	38	23
+	39	24
+	40	30
+	41	19
+	42	37
+	43	30
+	44	33
+	45	54
+	46	39
+	47	45
+	48	50
+	49	59
+	50	57
+	51	62
+	52	65
+	53	75
+	54	82
+	55	96
+	56	78
+	57	80
+	58	90
+	59	88
+	60	105
+	61	86
+	62	96
+	63	89
+	64	103
+	65	95
+	66	108
+	67	94
+	68	108
+	69	96
+	70	98
+	71	91
+	72	96
+	73	100
+	74	111
+	75	112
+	76	99
+	77	96
+	78	84
+	79	90
+	80	96
+	81	85
+	82	95
+	83	106
+	84	85
+	85	88
+	86	102
+	87	99
+	88	81
+	89	86
+	90	81
+	91	95
+	92	129
+	93	223
+	94	1068
+	95	61
+	96	42
+	97	41
+	98	54
+	99	34
+	100	48
+	101	47
+	102	39
+	103	41
+	104	34
+	105	30
+	106	31
+	107	45
+	108	27
+	109	42
+	110	30
+	111	21
+	112	26
+	113	19
+	114	28
+	115	31
+	116	21
+	117	23
+	118	21
+	119	28
+	120	16
+	121	21
+	122	15
+	123	23
+	124	23
+	125	20
+	126	21
+	127	20
+	128	23
+	129	23
+	130	28
+	131	15
+	132	17
+	133	22
+	134	21
+	135	13
+	136	10
+	137	11
+	138	16
+	139	11
+	140	8
+	141	14
+	142	8
+	143	17
+	144	13
+	145	11
+	146	12
+	147	10
+	148	5
+	149	9
+	150	6
+	151	14
+	152	4
+	153	7
+	154	5
+	155	3
+	156	4
+	157	7
+	158	4
+	159	3
+	160	4
+	161	5
+	162	3
+	163	7
+	164	4
+	165	4
+	166	4
+	167	5
+	168	4
+	169	3
+	170	3
+	171	2
+	172	6
+	173	7
+	174	4
+	175	2
+	177	3
+	181	2
+	182	1
+	183	2
+	185	1
-	25	3
-	26	4
-	27	1
-	28	4
-	29	2
-	30	2
-	31	9
-	32	8
-	33	7
-	34	16
-	35	8
-	36	12
-	37	8
-	38	19
-	39	22
-	40	28
-	41	12
-	42	39
-	43	43
-	44	42
-	45	48
-	46	58
-	47	48
-	48	57
-	49	64
-	50	55
-	51	76
-	52	66
-	53	76
-	54	87
-	55	87
-	56	84
-	57	81
-	58	88
-	59	104
-	60	97
-	61	82
-	62	124
-	63	120
-	64	105
-	65	111
-	66	128
-	67	121
-	68	120
-	69	104
-	70	98
-	71	108
-	72	87
-	73	104
-	74	99
-	75	90
-	76	103
-	77	99
-	78	101
-	79	107
-	80	91
-	81	90
-	82	95
-	83	102
-	84	88
-	85	91
-	86	58
-	87	90
-	88	71
-	89	81
-	90	97
-	91	91
-	92	110
-	93	268
-	94	1045
-	95	60
-	96	41
-	97	45
-	98	57
-	99	31
-	100	26
-	101	40
-	102	36
-	103	38
-	104	42
-	105	31
-	106	31
-	107	29
-	108	27
-	109	40
-	110	34
-	111	29
-	112	31
-	113	18
-	114	30
-	115	26
-	116	20
-	117	33
-	118	22
-	119	35
-	120	26
-	121	28
-	122	18
-	123	19
-	124	29
-	125	23
-	126	17
-	127	18
-	128	17
-	129	15
-	130	16
-	131	16
-	132	20
-	133	26
-	134	14
-	135	20
-	136	16
-	137	15
-	138	6
-	139	10
-	140	13
-	141	5
-	142	8
-	143	8
-	144	13
-	145	9
-	146	7
-	147	7
-	148	6
-	149	11
-	150	10
-	151	6
-	152	7
-	153	10
-	154	6
-	155	2
-	156	9
-	157	2
-	158	6
-	159	4
-	160	3
-	161	3
-	162	7
-	163	5
-	164	3
-	165	4
-	166	2
-	167	3
-	168	4
-	169	4
-	170	5
-	171	3
-	173	5
-	175	1
-	176	1
-	177	2
-	178	4
-	179	1
-	181	3
-	182	2
-	185	1
