# table produced by mapDamage version 2.0.1-10-g0a7fa27-dirty
# using mapped file - and 000_prefixes/Pi_nucl.fasta as reference file
# Std: strand of reads
Std	Length	Occurences 
+	24	1
+	25	4
+	26	1
+	27	2
+	28	1
+	29	7
+	30	7
+	31	13
+	32	17
+	33	18
+	34	33
+	35	42
+	36	85
+	37	113
+	38	103
+	39	140
+	40	170
+	41	240
+	42	247
+	43	271
+	44	322
+	45	366
+	46	407
+	47	409
+	48	463
+	49	517
+	50	552
+	51	607
+	52	578
+	53	588
+	54	646
+	55	697
+	56	665
+	57	708
+	58	707
+	59	729
+	60	757
+	61	770
+	62	807
+	63	746
+	64	810
+	65	754
+	66	784
+	67	762
+	68	738
+	69	784
+	70	776
+	71	762
+	72	787
+	73	711
+	74	709
+	75	755
+	76	771
+	77	700
+	78	712
+	79	696
+	80	690
+	81	657
+	82	678
+	83	661
+	84	644
+	85	663
+	86	590
+	87	604
+	88	646
+	89	578
+	90	599
+	91	679
+	92	813
+	93	1016
+	94	6291
+	95	329
+	96	269
+	97	260
+	98	362
+	99	249
+	100	238
+	101	231
+	102	206
+	103	207
+	104	227
+	105	207
+	106	180
+	107	173
+	108	201
+	109	172
+	110	183
+	111	183
+	112	155
+	113	165
+	114	160
+	115	163
+	116	131
+	117	152
+	118	149
+	119	146
+	120	131
+	121	132
+	122	141
+	123	121
+	124	103
+	125	107
+	126	118
+	127	103
+	128	107
+	129	99
+	130	113
+	131	91
+	132	78
+	133	101
+	134	85
+	135	67
+	136	90
+	137	71
+	138	77
+	139	70
+	140	53
+	141	53
+	142	57
+	143	45
+	144	66
+	145	46
+	146	59
+	147	61
+	148	37
+	149	40
+	150	34
+	151	45
+	152	44
+	153	42
+	154	31
+	155	30
+	156	30
+	157	32
+	158	24
+	159	26
+	160	30
+	161	28
+	162	15
+	163	18
+	164	21
+	165	13
+	166	16
+	167	10
+	168	14
+	169	9
+	170	9
+	171	9
+	172	13
+	173	7
+	174	15
+	175	13
+	176	7
+	177	9
+	178	4
+	179	8
+	180	8
+	181	3
+	182	12
+	183	7
+	184	6
+	185	6
+	186	1
-	25	1
-	26	4
-	27	5
-	28	6
-	29	6
-	30	10
-	31	10
-	32	20
-	33	33
-	34	38
-	35	57
-	36	69
-	37	82
-	38	119
-	39	137
-	40	174
-	41	201
-	42	235
-	43	294
-	44	308
-	45	340
-	46	420
-	47	399
-	48	501
-	49	505
-	50	604
-	51	557
-	52	558
-	53	664
-	54	645
-	55	662
-	56	684
-	57	682
-	58	695
-	59	701
-	60	722
-	61	679
-	62	714
-	63	792
-	64	744
-	65	797
-	66	770
-	67	747
-	68	808
-	69	787
-	70	748
-	71	745
-	72	713
-	73	721
-	74	681
-	75	738
-	76	710
-	77	665
-	78	671
-	79	693
-	80	680
-	81	703
-	82	733
-	83	685
-	84	687
-	85	638
-	86	617
-	87	645
-	88	671
-	89	564
-	90	637
-	91	699
-	92	804
-	93	1076
-	94	6325
-	95	345
-	96	237
-	97	263
-	98	326
-	99	235
-	100	232
-	101	236
-	102	224
-	103	225
-	104	193
-	105	210
-	106	196
-	107	196
-	108	195
-	109	187
-	110	172
-	111	186
-	112	163
-	113	173
-	114	162
-	115	172
-	116	162
-	117	145
-	118	112
-	119	134
-	120	136
-	121	119
-	122	145
-	123	133
-	124	129
-	125	98
-	126	104
-	127	90
-	128	92
-	129	98
-	130	92
-	131	92
-	132	101
-	133	86
-	134	79
-	135	69
-	136	73
-	137	85
-	138	79
-	139	60
-	140	53
-	141	64
-	142	67
-	143	60
-	144	68
-	145	53
-	146	45
-	147	39
-	148	46
-	149	42
-	150	36
-	151	42
-	152	38
-	153	34
-	154	38
-	155	42
-	156	37
-	157	32
-	158	22
-	159	20
-	160	20
-	161	27
-	162	19
-	163	23
-	164	17
-	165	24
-	166	12
-	167	15
-	168	20
-	169	10
-	170	9
-	171	9
-	172	4
-	173	7
-	174	5
-	175	8
-	176	7
-	177	7
-	178	8
-	179	6
-	180	7
-	181	3
-	182	3
-	183	7
-	184	3
-	185	4
