"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0267276899413452,4.59261646178454e-06,0.120023906729044,0.926946633607648,0.269067208427093,-4739.58234846016
"Std.",0.000211070569777376,4.68375043465101e-06,0.211389602896981,0.152863256781855,0.00359381391975458,1.67627417795788
"Acceptance ratio",0.17726,0.1155,0.2289,0.16596,0.22114,0.65628
"0%",0.0259022019796439,5.61959569716871e-09,4.75960046606837e-06,0.00202333624637677,0.255917716903448,-4753.34235834606
"2.5%",0.0263071629813409,1.08572155265929e-07,4.75960046606837e-06,0.42065690510347,0.262111511114179,-4743.66952996502
"5%",0.0263769554094461,2.62058401135438e-07,3.55724762587106e-05,0.591548057828431,0.263164559011639,-4742.77850529076
"7.5%",0.0264250482759767,3.62309213879133e-07,0.000166582859843223,0.688607838434791,0.263854830315116,-4742.25448834969
"10%",0.026460620478246,4.90054752944718e-07,0.000219164553288225,0.757040646908249,0.264467280374352,-4741.86489297696
"12.5%",0.0264892407759142,6.33182365626628e-07,0.000295124900708358,0.811764683464597,0.264902251055913,-4741.54662686136
"15%",0.0265121103927374,7.52878723736473e-07,0.000550015378272595,0.849472619498446,0.265315183588417,-4741.28528613913
"17.5%",0.0265317617218573,8.6257796606588e-07,0.000653380260284858,0.880765451185898,0.265668346949484,-4741.04819122067
"20%",0.0265512365698577,1.01721616450001e-06,0.000888122425230385,0.906483819723061,0.266046173691264,-4740.85080970522
"22.5%",0.026569036775646,1.14943261137768e-06,0.00115947479849327,0.924462665704289,0.266343151366041,-4740.66354917552
"25%",0.0265873706643275,1.31457864601889e-06,0.00173630578962956,0.939505306445971,0.266642569993501,-4740.48681627829
"27.5%",0.0266029499243427,1.43286480281433e-06,0.00197833742717748,0.950702758933402,0.266948372571654,-4740.32855571278
"30%",0.0266170398249067,1.59944403782952e-06,0.00236517289718259,0.959541952496135,0.267191396164529,-4740.18666672942
"32.5%",0.0266340324611633,1.73883283091395e-06,0.00286939110700162,0.967524443557714,0.267428938557699,-4740.05087911798
"35%",0.0266470299303806,1.87698168296552e-06,0.00374563966191921,0.97326916604423,0.267640015336712,-4739.91887209544
"37.5%",0.0266592505365866,2.07584127885416e-06,0.0044617804734908,0.978745576042179,0.267915344243931,-4739.79990780192
"40%",0.0266723480429323,2.28526888369302e-06,0.00564810552571734,0.983099930848627,0.268165281892257,-4739.68411020384
"42.5%",0.0266873363860792,2.47611665195512e-06,0.00688978694700587,0.987489484531557,0.268370013879467,-4739.5641061942
"45%",0.0267001916354469,2.6764401458849e-06,0.00882993631290875,0.990253745566916,0.26857057477266,-4739.46162186964
"47.5%",0.0267141376156555,2.90743684466084e-06,0.0113009470845546,0.991999205754203,0.268815395101726,-4739.3578082639
"50%",0.0267279860365846,3.10612874649677e-06,0.0139170139651084,0.993416247734022,0.269057379756578,-4739.25092622926
"52.5%",0.026742866312116,3.35062127842456e-06,0.0181620294708513,0.995052578949859,0.269314125866,-4739.14767679374
"55%",0.0267566163898141,3.64539331892216e-06,0.0214561010790649,0.996313500744903,0.26954729553304,-4739.04514176845
"57.5%",0.0267719737394944,3.91383810137039e-06,0.0275948806072789,0.996905210339528,0.269793706440492,-4738.94626883993
"60%",0.0267850212490813,4.13042057523478e-06,0.0357639914589177,0.997535794327448,0.270002543917125,-4738.86149993288
"62.5%",0.0267975981790248,4.39285887103974e-06,0.0440207731101324,0.997842626522336,0.27022501202238,-4738.77138380973
"65%",0.0268116086261324,4.72114083211495e-06,0.0543414938681373,0.998350387142015,0.270449281533407,-4738.68596625949
"67.5%",0.0268253694035546,4.99999095658927e-06,0.0685588169194208,0.998766793230549,0.270691694945354,-4738.60147489066
"70%",0.0268422219130614,5.35648626132374e-06,0.0829908000842559,0.998959369259401,0.270951281436517,-4738.51591158383
"72.5%",0.0268568206323077,5.77505744118852e-06,0.105923018019621,0.999081134818817,0.271196074318128,-4738.42103529357
"75%",0.0268724758879511,6.20581407184946e-06,0.131342036025384,0.999282794334074,0.271483191638363,-4738.33560926478
"77.5%",0.0268860074347799,6.73887798638295e-06,0.163293983367041,0.99946296222391,0.271762253226818,-4738.25062825565
"80%",0.0269029545040006,7.27841892642437e-06,0.1997610447564,0.999523608477344,0.272118459638263,-4738.16135334076
"82.5%",0.0269221230660803,7.94600490175415e-06,0.244795453322632,0.999607399916201,0.27244436004087,-4738.06782511119
"85%",0.0269425786499011,8.78566486390559e-06,0.296093308033493,0.999713195395418,0.272780840426472,-4737.96780448075
"87.5%",0.0269680986854934,9.68435406474668e-06,0.358948651555185,0.999746808103712,0.27319891473509,-4737.85930364966
"90%",0.0269932133327014,1.08331006777309e-05,0.440052056254867,0.999778950524049,0.2736125976697,-4737.73939029143
"92.5%",0.0270281669729405,1.24414308246295e-05,0.529988043417338,0.999814430384894,0.274261315011906,-4737.62079035886
"95%",0.0270700396204653,1.42890785193369e-05,0.640666698699883,0.999867987230572,0.275004882431294,-4737.491242633
"97.5%",0.0271382284576324,1.76308917294565e-05,0.791671764517294,0.999917702877937,0.276146804992258,-4737.30342853945
"100%",0.0275470501113482,4.51055013643359e-05,0.999568261579627,0.999971397852597,0.282296822344932,-4736.80397875156
