# table produced by mapDamage version 2.0.1-10-g0a7fa27-dirty
# using mapped file - and 000_prefixes/Pi_nucl.fasta as reference file
# Std: strand of reads
Std	Length	Occurences 
+	23	1
+	24	1
+	25	4
+	26	4
+	27	8
+	28	7
+	29	12
+	30	12
+	31	9
+	32	13
+	33	25
+	34	47
+	35	62
+	36	78
+	37	106
+	38	120
+	39	153
+	40	180
+	41	204
+	42	249
+	43	277
+	44	313
+	45	366
+	46	407
+	47	457
+	48	487
+	49	496
+	50	514
+	51	563
+	52	574
+	53	621
+	54	674
+	55	610
+	56	704
+	57	732
+	58	710
+	59	720
+	60	740
+	61	689
+	62	732
+	63	747
+	64	790
+	65	731
+	66	642
+	67	722
+	68	714
+	69	752
+	70	712
+	71	745
+	72	733
+	73	738
+	74	708
+	75	680
+	76	665
+	77	651
+	78	645
+	79	641
+	80	652
+	81	642
+	82	648
+	83	656
+	84	627
+	85	588
+	86	615
+	87	609
+	88	636
+	89	545
+	90	582
+	91	643
+	92	753
+	93	1064
+	94	6219
+	95	320
+	96	264
+	97	233
+	98	363
+	99	230
+	100	234
+	101	205
+	102	208
+	103	194
+	104	216
+	105	178
+	106	179
+	107	182
+	108	195
+	109	179
+	110	179
+	111	175
+	112	173
+	113	147
+	114	166
+	115	147
+	116	156
+	117	151
+	118	139
+	119	149
+	120	136
+	121	151
+	122	114
+	123	140
+	124	117
+	125	110
+	126	119
+	127	102
+	128	108
+	129	104
+	130	110
+	131	96
+	132	90
+	133	82
+	134	93
+	135	87
+	136	75
+	137	90
+	138	67
+	139	71
+	140	71
+	141	63
+	142	58
+	143	51
+	144	59
+	145	61
+	146	64
+	147	44
+	148	53
+	149	55
+	150	41
+	151	56
+	152	42
+	153	41
+	154	40
+	155	40
+	156	45
+	157	38
+	158	30
+	159	31
+	160	21
+	161	34
+	162	41
+	163	41
+	164	29
+	165	16
+	166	20
+	167	31
+	168	27
+	169	32
+	170	16
+	171	29
+	172	20
+	173	32
+	174	14
+	175	17
+	176	15
+	177	18
+	178	15
+	179	9
+	180	17
+	181	19
+	182	15
+	183	18
+	184	15
+	185	10
-	25	3
-	26	5
-	27	8
-	28	2
-	29	7
-	30	12
-	31	21
-	32	22
-	33	33
-	34	64
-	35	55
-	36	94
-	37	93
-	38	131
-	39	135
-	40	178
-	41	223
-	42	263
-	43	311
-	44	330
-	45	366
-	46	419
-	47	418
-	48	508
-	49	521
-	50	545
-	51	523
-	52	629
-	53	634
-	54	634
-	55	698
-	56	690
-	57	733
-	58	647
-	59	707
-	60	742
-	61	761
-	62	746
-	63	764
-	64	747
-	65	728
-	66	776
-	67	752
-	68	767
-	69	680
-	70	690
-	71	722
-	72	693
-	73	713
-	74	641
-	75	700
-	76	694
-	77	691
-	78	628
-	79	657
-	80	692
-	81	652
-	82	635
-	83	607
-	84	632
-	85	614
-	86	584
-	87	595
-	88	605
-	89	584
-	90	585
-	91	659
-	92	805
-	93	1065
-	94	6307
-	95	313
-	96	251
-	97	270
-	98	391
-	99	213
-	100	219
-	101	250
-	102	231
-	103	207
-	104	187
-	105	187
-	106	182
-	107	177
-	108	179
-	109	160
-	110	186
-	111	182
-	112	159
-	113	168
-	114	161
-	115	132
-	116	150
-	117	147
-	118	109
-	119	152
-	120	122
-	121	130
-	122	117
-	123	129
-	124	128
-	125	125
-	126	105
-	127	103
-	128	94
-	129	85
-	130	96
-	131	97
-	132	75
-	133	78
-	134	73
-	135	82
-	136	77
-	137	67
-	138	61
-	139	70
-	140	59
-	141	62
-	142	61
-	143	64
-	144	62
-	145	52
-	146	48
-	147	57
-	148	45
-	149	46
-	150	45
-	151	46
-	152	43
-	153	32
-	154	33
-	155	44
-	156	35
-	157	27
-	158	37
-	159	35
-	160	27
-	161	22
-	162	31
-	163	32
-	164	23
-	165	27
-	166	46
-	167	35
-	168	29
-	169	24
-	170	25
-	171	22
-	172	21
-	173	22
-	174	24
-	175	23
-	176	33
-	177	13
-	178	15
-	179	11
-	180	19
-	181	12
-	182	11
-	183	19
-	184	17
-	185	16
