"","M.0182896.NO.UDG","M.0182896.UDG","M.0182896.UDGa","M.0182896.UDGb","M.0182896.UDGc","Pi1845A.id.CGCTAT","Pi1889.id.CTTGTA","Pi1889.id.GGCTAC","Pi1889.id.TAGCTT"
"Brevibacterium",0,0,0,0,0,26.96627,0,0,0
"Frankia",0,0,0,0,0,3.21437,0,0,0
"Kineococcus",0,0,0.04013,0.0284,0.03019,1.17813,0,0,0
"Arthrobacter",0,0,0,0,0,10.63463,4.31343,4.14533,4.39643
"Micrococcus",0,0,0,0,0,0,0.08422,0.04927,0.05598
"Mycobacterium",0,0,0.00887,0,0.00965,3.18891,0.05769,0,0
"Propionibacterium",0,0,0,0,0,0.51258,0,0.01226,0.00674
"Bifidobacterium",0,0,0,0,0,0.28072,0,0,0.01277
"Collinsella",0,0,0,0,0,19.98936,0,0,0
"Candidatus_Sulcia",0,0,0,0,0,1.14119,0,0,0
"Sphingobacteriaceae_unclassified",0,0,0,0,0.01393,0,0.04059,0.14525,0
"Exiguobacterium",0,0,0,0,0,0,11.00357,11.52692,10.9544
"Caulobacter",0,0,0,0,0,1.20722,0,0,0
"Aurantimonadaceae_unclassified",0,0,0,0,0,5.29625,0.07227,0.02813,0.19676
"Methylobacterium",0,0,0.04162,0,0.05045,6.02952,0.08949,0.08435,0.12566
"Methylocystaceae_unclassified",0,0,0,0,0,0.80038,0,0,0
"Acetobacteraceae_unclassified",0,0,0,0,0,0.92557,0,0,0
"Erythrobacteraceae_unclassified",0,0,0,0,0,1.48299,0,0,0
"Candidatus_Zinderia",0,0,0,0,0,2.84114,0,0,0
"Thioalkalivibrio",0,0,0,0,0.0077,0,0,0,0.02397
"Candidatus_Carsonella",0,0,0,0,0,2.13362,0,0,0
"Enterobacter",0,0,0,0,0,0,0.05956,0,0.14384
"Erwinia",0,0,0,0,0,0,0.42319,0.39718,0.46413
"Escherichia",0,0,0,0,0,2.09858,0,0,0
"Pantoea",14.21791,13.76959,16.14682,14.6399,16.95444,0,3.37568,3.15824,3.25615
"Pectobacterium",0,0,0,0,0,0,5.6553,5.61134,5.3445
"Rahnella",0,0,0,0,0,0,0.91885,0.98379,1.00808
"Acinetobacter",0,0,0,0,0,0,3.38248,3.60764,3.761
"Psychrobacter",0,0,0,0,0,0,0.05922,0.05427,0.05081
"Pseudomonas",85.78209,86.23041,83.76256,85.3317,82.93364,10.07859,70.46446,70.19604,70.15228
"Stenotrophomonas",0,0,0,0,0,0,0,0,0.00896
