pos	5pC>T
1	0.0032602252519265
2	0.00356435643564356
3	0.00370744860128076
4	0.00166944908180301
5	0.00383408853258975
6	0.00174764068507515
7	0.00240137221269297
8	0.00161655350792111
9	0.00297816015883521
10	0.00224143451809158
11	0.000315756236185665
12	0.0016926201760325
13	0.00278637770897833
14	0.00309885342423303
15	0.00131233595800525
16	0.00274725274725275
17	0.00125984251968504
18	0.00257898130238556
19	0.00190779014308426
20	0.0028772378516624
21	0.00282574568288854
22	0.000941028858218319
23	0.002195045468799
24	0.00168690958164642
25	0.0037359900373599
