"","Position","C.T","G.A"
"1",1,0.959361367687374,0.95716840427911
"2",2,0.940974886852389,0.929583046736047
"3",3,0.913839141947123,0.889527518813315
"4",4,0.875167993584308,0.836652068956465
"5",5,0.820966370208883,0.777103375790119
"6",6,0.746739446711773,0.721830091349808
"7",7,0.664806254281007,0.666310979682412
"8",8,0.607122731566499,0.596601446569972
"9",9,0.577196655365773,0.517392983103309
"10",10,0.547101385096657,0.461672566533469
"11",11,0.502715375464721,0.448190226837224
"12",12,0.431649996405164,0.473328543672538
"13",-12,0.272869913627161,0.553817143338728
"14",-11,0.342010891541965,0.55605457061967
"15",-10,0.402207831136856,0.572372043280078
"16",-9,0.460558425645814,0.605015408646168
"17",-8,0.522591396248845,0.653256044860146
"18",-7,0.571492599563121,0.720728019684961
"19",-6,0.606640636145163,0.794214708583718
"20",-5,0.66213571379121,0.853982574415537
"21",-4,0.736974680400382,0.899084217313553
"22",-3,0.797655934618941,0.933552952717182
"23",-2,0.857188451945215,0.956798306129164
"24",-1,0.909778317514779,0.971846117533259
