"","Position","C.T","G.A"
"1",1,0.0797264089342923,0.0719613206608906
"2",2,0.0306223260447826,0.023420942000563
"3",3,0.0150592748488285,0.0110778472191001
"4",4,0.00862033966989843,0.0065266899393183
"5",5,0.00559785278660617,0.00433989177214494
"6",6,0.00397184925756031,0.00310751713644133
"7",7,0.00296089920443026,0.00236882481659723
"8",8,0.00228359244279009,0.0018831934885618
"9",9,0.0018145278971573,0.00153241736684503
"10",10,0.00146958874403339,0.0012770322432345
"11",11,0.00122960564500815,0.00106322088020238
"12",12,0.00107432786119677,0.000867387647534221
"13",-12,0.000862719050158577,0.00107818422836329
"14",-11,0.0010123117399304,0.00127530305372429
"15",-10,0.00119645419200459,0.0015407352621676
"16",-9,0.00145932699501107,0.00187738488589531
"17",-8,0.00183237882046418,0.00232613157287246
"18",-7,0.00234075216268973,0.00298314182822147
"19",-6,0.00309101953883051,0.00398373126452267
"20",-5,0.00430968435870788,0.00561971184705729
"21",-4,0.006532876913818,0.00861221911618487
"22",-3,0.0110012398139291,0.0151100139532769
"23",-2,0.0222912388681986,0.0314203549375075
"24",-1,0.063851719692041,0.0858750109440791
