pos	5pG>A
1	0.0262458471760797
2	0.0510510510510511
3	0.03003003003003
4	0.0262172284644195
5	0.0168869309838473
6	0.0094876660341556
7	0.0111390585698886
8	0.00541455160744501
9	0.00467794170564951
10	0.00392156862745098
11	0.00551533953809031
12	0.00552486187845304
13	0.00236167341430499
14	0.0023094688221709
15	0.00449671393981321
16	0.00291226792864944
17	0.00545702592087312
18	0.0034447123665174
19	0.0023592854735423
20	0.00350017500875044
21	0.00269269606193201
22	0.00450606585788562
23	0.00102249488752556
24	0.00176491351923756
25	0.0037568306010929
