# table produced by mapDamage version 2.0.1-10-g0a7fa27-dirty
# using mapped file - and 000_prefixes/Pi_mito.fasta as reference file
# Std: strand of reads
Std	Length	Occurences 
+	25	7
+	26	4
+	27	5
+	28	6
+	29	4
+	30	6
+	31	11
+	32	9
+	33	4
+	34	11
+	35	13
+	36	14
+	37	23
+	38	32
+	39	19
+	40	15
+	41	23
+	42	22
+	43	42
+	44	44
+	45	42
+	46	53
+	47	50
+	48	40
+	49	55
+	50	59
+	51	69
+	52	72
+	53	74
+	54	91
+	55	79
+	56	88
+	57	83
+	58	103
+	59	121
+	60	89
+	61	104
+	62	95
+	63	90
+	64	112
+	65	89
+	66	86
+	67	108
+	68	90
+	69	109
+	70	109
+	71	94
+	72	101
+	73	110
+	74	100
+	75	88
+	76	88
+	77	101
+	78	103
+	79	109
+	80	95
+	81	79
+	82	86
+	83	88
+	84	68
+	85	90
+	86	86
+	87	76
+	88	86
+	89	72
+	90	100
+	91	104
+	92	130
+	93	291
+	94	1369
+	95	58
+	96	36
+	97	48
+	98	89
+	99	34
+	100	49
+	101	35
+	102	44
+	103	46
+	104	41
+	105	45
+	106	42
+	107	41
+	108	38
+	109	24
+	110	34
+	111	35
+	112	34
+	113	23
+	114	34
+	115	31
+	116	35
+	117	29
+	118	25
+	119	40
+	120	40
+	121	23
+	122	29
+	123	28
+	124	29
+	125	37
+	126	26
+	127	28
+	128	29
+	129	20
+	130	23
+	131	21
+	132	20
+	133	31
+	134	20
+	135	19
+	136	23
+	137	19
+	138	22
+	139	13
+	140	21
+	141	27
+	142	21
+	143	23
+	144	23
+	145	18
+	146	12
+	147	9
+	148	10
+	149	15
+	150	7
+	151	17
+	152	12
+	153	10
+	154	13
+	155	10
+	156	16
+	157	8
+	158	19
+	159	20
+	160	11
+	161	8
+	162	8
+	163	8
+	164	8
+	165	16
+	166	15
+	167	10
+	168	6
+	169	9
+	170	10
+	171	10
+	172	6
+	173	5
+	174	12
+	175	4
+	176	10
+	177	4
+	178	6
+	179	3
+	180	6
+	181	6
+	182	4
+	183	7
+	184	3
+	185	5
-	24	1
-	25	7
-	26	11
-	27	3
-	28	6
-	29	6
-	30	10
-	31	8
-	32	2
-	33	8
-	34	15
-	35	16
-	36	14
-	37	16
-	38	23
-	39	25
-	40	30
-	41	35
-	42	26
-	43	30
-	44	39
-	45	55
-	46	55
-	47	63
-	48	55
-	49	68
-	50	58
-	51	61
-	52	67
-	53	76
-	54	72
-	55	109
-	56	97
-	57	127
-	58	93
-	59	115
-	60	88
-	61	90
-	62	104
-	63	115
-	64	96
-	65	110
-	66	127
-	67	101
-	68	105
-	69	111
-	70	113
-	71	108
-	72	87
-	73	84
-	74	97
-	75	102
-	76	84
-	77	109
-	78	97
-	79	86
-	80	95
-	81	106
-	82	92
-	83	80
-	84	82
-	85	77
-	86	95
-	87	89
-	88	76
-	89	88
-	90	92
-	91	96
-	92	141
-	93	274
-	94	1348
-	95	55
-	96	40
-	97	41
-	98	84
-	99	43
-	100	49
-	101	39
-	102	39
-	103	38
-	104	29
-	105	32
-	106	36
-	107	31
-	108	41
-	109	35
-	110	35
-	111	30
-	112	32
-	113	42
-	114	33
-	115	41
-	116	29
-	117	36
-	118	36
-	119	37
-	120	34
-	121	34
-	122	25
-	123	31
-	124	30
-	125	23
-	126	27
-	127	25
-	128	19
-	129	18
-	130	31
-	131	23
-	132	23
-	133	23
-	134	14
-	135	27
-	136	18
-	137	21
-	138	20
-	139	18
-	140	20
-	141	27
-	142	14
-	143	21
-	144	15
-	145	14
-	146	22
-	147	12
-	148	19
-	149	21
-	150	6
-	151	19
-	152	17
-	153	17
-	154	10
-	155	11
-	156	14
-	157	9
-	158	14
-	159	11
-	160	5
-	161	10
-	162	8
-	163	15
-	164	7
-	165	12
-	166	10
-	167	6
-	168	9
-	169	11
-	170	7
-	171	11
-	172	7
-	173	8
-	174	9
-	175	4
-	176	12
-	177	4
-	178	6
-	179	6
-	180	8
-	181	9
-	182	3
-	183	5
-	184	6
-	185	7
