pos	5pC>T
1	0.0026525198938992
2	0.00542740841248304
3	0.00252434186801298
4	0.00340522133938706
5	0.00267686424474187
6	0.00391389432485323
7	0.00191204588910134
8	0.00287666307083783
9	0.00179920834832674
10	0.00204988042364195
11	0.00105969622041681
12	0.000723327305605787
13	0.00335683115139308
14	0.00173370319001387
15	0.00248579545454545
16	0.0022189349112426
17	0.00251979841612671
18	0.00356125356125356
19	0.00103698582786035
20	0.00178316690442225
21	0.00285408490902604
22	0.00206967919972404
23	0.00247087892693258
24	0.00145454545454545
25	0.00203665987780041
