pos	5pG>A
1	0.0385501920828462
2	0.0431893687707641
3	0.0262298650413583
4	0.0269436372116385
5	0.018594446842181
6	0.0191471167788229
7	0.0118727761237383
8	0.0114543068903153
9	0.00953385975765074
10	0.00815169236221868
11	0.00812837955695099
12	0.00732984293193717
13	0.00650964196969167
14	0.00671258259623116
15	0.00615683732987686
16	0.00728597449908925
17	0.00609734730350072
18	0.00632843119628924
19	0.00726774805140088
20	0.00664242763249895
21	0.00519628430081503
22	0.0057699750202301
23	0.00486456218940295
24	0.00503535461752732
25	0.0051537293939073
