pos	5pG>A
1	0.0530401034928849
2	0.033003300330033
3	0.0268741159830269
4	0.0197568389057751
5	0.0292758089368259
6	0.0154559505409583
7	0.0231481481481481
8	0.00937081659973226
9	0.0299319727891156
10	0.0104031209362809
11	0.0126742712294043
12	0.00599520383693046
13	0.00446428571428571
14	0.00469483568075117
15	0.00562429696287964
16	0.00550660792951542
17	0.00236406619385343
18	0.0102960102960103
19	0.0048661800486618
20	0.00737100737100737
21	0.00516129032258065
22	0.00372208436724566
23	0.00938337801608579
24	0.00834492350486787
25	0.0199146514935989
