pos	5pC>T
1	0.0327175147074001
2	0.0300228353236252
3	0.0173239034147735
4	0.014040014040014
5	0.0120392073300661
6	0.0103100402793688
7	0.00900836998155767
8	0.00799518873598189
9	0.00835087969736983
10	0.00676199197013454
11	0.00769419948705337
12	0.00662131847456401
13	0.00651499843221963
14	0.00707298191287212
15	0.00675289409747034
16	0.00643120350413683
17	0.00646969277608635
18	0.00609993970989822
19	0.00582165516279718
20	0.00570046640179651
21	0.00612164999822045
22	0.00595093092048025
23	0.00615320796460177
24	0.00482326432896775
25	0.00567983831625897
