pos	5pC>T
1	0.00379039958334539
2	0.00768163874959991
3	0.00473866610085579
4	0.00372262773722628
5	0.00453976205385097
6	0.00365867601661649
7	0.00370166180987635
8	0.00431577054486603
9	0.00348641049671978
10	0.00341594592630278
11	0.00253400409912428
12	0.00350335267083553
13	0.00330488469220991
14	0.00366595791480314
15	0.00293166954822221
16	0.00333748991417883
17	0.00372721234039412
18	0.00300077797947616
19	0.00342655023764784
20	0.00310123310935539
21	0.00380401704199635
22	0.00287882753205967
23	0.00311734580271654
24	0.00292617046818728
25	0.00314124378295501
