pos	5pG>A
1	0.0393622321873443
2	0.0248756218905473
3	0.0225840336134454
4	0.010275824770146
5	0.0105652403592182
6	0.00973499188750676
7	0.00478468899521531
8	0.0095
9	0.0065359477124183
10	0.0081888246628131
11	0.00792171481826654
12	0.00430828147438966
13	0.00411522633744856
14	0.00546946216955333
15	0.00323325635103926
16	0.00394910048266784
17	0.00401069518716578
18	0.00456829602558246
19	0.00584795321637427
20	0.00517647058823529
21	0.00435835351089588
22	0.00464468183929401
23	0.00429389312977099
24	0.00591133004926108
25	0.00872359963269054
