pos	5pG>A
1	0.00792426579560234
2	0.0102056515718755
3	0.00805673126902799
4	0.00573466161820387
5	0.00597109987659727
6	0.0051661918328585
7	0.00533596837944664
8	0.00458849235251275
9	0.00480296497995613
10	0.00421239330451169
11	0.00425673674859343
12	0.00466545289030496
13	0.00353982300884956
14	0.00313210783399828
15	0.00358693600151029
16	0.00399745955841148
17	0.00457820474332032
18	0.00359820089955022
19	0.00390770375883885
20	0.00381424974077914
21	0.00383724022643517
22	0.00376548555936288
23	0.00335946248600224
24	0.00330848798296319
25	0.0039849709666401
