"","Position","C.T","G.A"
"1",1,0.950501201871091,0.966499901205436
"2",2,0.935518558020883,0.93096091657042
"3",3,0.910645970879661,0.86929123723773
"4",4,0.876763947186254,0.78111095025384
"5",5,0.840580109760929,0.669803029072403
"6",6,0.808238518904477,0.55020194611055
"7",7,0.774311693121228,0.488700315477924
"8",8,0.732385398508833,0.509416907283791
"9",9,0.691711837148632,0.540796730547099
"10",10,0.648329260124314,0.577398562211059
"11",11,0.571312188579435,0.633563472626428
"12",12,0.409665419122892,0.692022036622844
"13",-12,0.644516124356173,0.553857814900273
"14",-11,0.626432942565481,0.586642059437981
"15",-10,0.595228177497798,0.629934408501337
"16",-9,0.573196933417823,0.665434344351903
"17",-8,0.591568279032739,0.687444660946995
"18",-7,0.615824024646365,0.722512178467703
"19",-6,0.643775143879731,0.772353380571888
"20",-5,0.682659889818568,0.828739294308882
"21",-4,0.749734947062913,0.879163965609719
"22",-3,0.819876683147329,0.921424564569947
"23",-2,0.878614099528805,0.952445572930539
"24",-1,0.91979245579429,0.972835879351585
