pos	5pG>A
1	0.0161857846586911
2	0.0349775784753363
3	0.0166870166870167
4	0.0143299767621998
5	0.0131212723658052
6	0.00681909346169274
7	0.00775795190069822
8	0.00539374325782093
9	0.0054904831625183
10	0.00401313389273988
11	0.00283687943262411
12	0.00482912332838039
13	0.000359195402298851
14	0.00529100529100529
15	0.0025528811086798
16	0.00191204588910134
17	0.00178762960314623
18	0.00407256571640133
19	0.00144300144300144
20	0.00391459074733096
21	0.00414312617702448
22	0.00142196942765731
23	0.00178890876565295
24	0.000751314800901578
25	0.00497866287339972
