"","Position","C.T","G.A"
"1",1,0.87227066911263,0.675437944126842
"2",2,0.835115330424422,0.570100558635349
"3",3,0.782548333330741,0.49407598741908
"4",4,0.715873474177251,0.431788191935884
"5",5,0.648951217889478,0.341288408551715
"6",6,0.586418113517838,0.232678147499745
"7",7,0.506104207930755,0.186361140772441
"8",8,0.400343904278973,0.197907895625517
"9",9,0.292053586793579,0.205855061168339
"10",10,0.215491506506669,0.185165895372095
"11",11,0.183591854947805,0.137856777393521
"12",12,0.174790525140163,0.0831597687302719
"13",-12,0.0826030567415252,0.166928894393074
"14",-11,0.140394489183479,0.177180977266456
"15",-10,0.18644377667245,0.211489654187489
"16",-9,0.228850460275683,0.266678279296373
"17",-8,0.288072986427762,0.326560068166496
"18",-7,0.364370641446326,0.389775811483834
"19",-6,0.455989094334581,0.453145415114076
"20",-5,0.544657186129488,0.525579282333621
"21",-4,0.619046336436815,0.610427244567712
"22",-3,0.68501723561898,0.693232607186351
"23",-2,0.754911910266033,0.756900311910626
"24",-1,0.830161090617125,0.792903599302713
