"","Position","C.T","G.A"
"1",1,0.858363468043394,0.536805828211302
"2",2,0.812081835165555,0.476392271735615
"3",3,0.755519496480026,0.426415916810969
"4",4,0.692842453587123,0.373372583016875
"5",5,0.626098855939121,0.327367843920009
"6",6,0.55582434878456,0.298058832553788
"7",7,0.486280933839937,0.279642475490063
"8",8,0.428131088424831,0.257096459510594
"9",9,0.385104022944255,0.230419964421403
"10",10,0.352364239101824,0.207956595828764
"11",11,0.328538672872695,0.189250663453081
"12",12,0.313750686142648,0.171046895962565
"13",-12,0.175976130402216,0.310138918218144
"14",-11,0.192999591007824,0.325749212511926
"15",-10,0.209562787350563,0.351079130034619
"16",-9,0.223024947956386,0.389507467919079
"17",-8,0.238928441403877,0.43818051414926
"18",-7,0.259118332096079,0.495939324694388
"19",-6,0.28265377974805,0.561471622073828
"20",-5,0.314539233558655,0.629643500952421
"21",-4,0.351601117786816,0.697529089214748
"22",-3,0.383174596791868,0.762357114736984
"23",-2,0.412545087867264,0.818920628146721
"24",-1,0.449523709572697,0.864739540116389
