"","Position","C.T","G.A"
"1",1,0.925998571161551,0.882787227319832
"2",2,0.914337537292083,0.797582740068081
"3",3,0.891720420244259,0.702429484870993
"4",4,0.854757604301429,0.637955985583337
"5",5,0.808392867361064,0.567273652429126
"6",6,0.755297075135886,0.481396579451544
"7",7,0.684815005994372,0.426519670734632
"8",8,0.599985778586409,0.38492899138771
"9",9,0.499036182408831,0.358662873160201
"10",10,0.379511793306211,0.346875155848198
"11",11,0.241847519069161,0.343931578090552
"12",12,0.109468731381488,0.335337034692814
"13",-12,0.18676319578116,0.290721981766262
"14",-11,0.261112922792338,0.330411060484778
"15",-10,0.335673759669022,0.385286864451621
"16",-9,0.405781118075488,0.456998048876173
"17",-8,0.483176063209752,0.531693713311073
"18",-7,0.570832045207107,0.60056296265569
"19",-6,0.667264714255921,0.655505706193023
"20",-5,0.740960881831015,0.717093217679107
"21",-4,0.790350994427183,0.785709119353961
"22",-3,0.833445800684247,0.84049201053831
"23",-2,0.87883024217971,0.875299924554874
"24",-1,0.921381649204713,0.891841845467951
