pos	5pG>A
1	0.0193509973206311
2	0.0416184971098266
3	0.02856159669649
4	0.0152621101526211
5	0.0121662723893207
6	0.00805322128851541
7	0.00863557858376511
8	0.00728770595690748
9	0.00611719253058596
10	0.00295469468154957
11	0.00281954887218045
12	0.00516462233699161
13	0.00458575359217365
14	0.00236826524570752
15	0.00446713465220166
16	0.00193986420950533
17	0.00247908273938643
18	0.00161917098445596
19	0.00379987333755541
20	0.00187852222917971
21	0.00419354838709677
22	0.00211992731677771
23	0.00310462589257994
24	0.00163185378590078
25	0.0030441400304414
