"","Position","C.T","G.A"
"1",1,0.905965147979896,0.851317575572406
"2",2,0.867460479996637,0.816338766279527
"3",3,0.817973015757612,0.771786652684647
"4",4,0.768385003671509,0.70219825147599
"5",5,0.730009197977233,0.586752332607376
"6",6,0.691724682833541,0.434020728527498
"7",7,0.646986757526749,0.271355229864189
"8",8,0.573577194777417,0.209654345718612
"9",9,0.46908412610797,0.225500953336785
"10",10,0.345507498627502,0.249252897222653
"11",11,0.257166196120877,0.227327216244992
"12",12,0.231834905127787,0.15894250401124
"13",-12,0.13648397466852,0.241332291323199
"14",-11,0.18178836541215,0.288474232562927
"15",-10,0.236610059052078,0.345579716875271
"16",-9,0.311504541321792,0.404975095932622
"17",-8,0.405511145290554,0.46388090755715
"18",-7,0.502760264843111,0.527229799638339
"19",-6,0.596037221668338,0.593479266966717
"20",-5,0.672379055875483,0.667405152706348
"21",-4,0.727311141495191,0.746403883350606
"22",-3,0.776178321931103,0.81150118755555
"23",-2,0.835893862373825,0.851872184647484
"24",-1,0.895449473284666,0.869933342105769
