pos	5pC>T
1	0.0319610149554697
2	0.0288547569340889
3	0.017501640778823
4	0.0166719094054734
5	0.0137360687158373
6	0.011966895317626
7	0.00985519621446615
8	0.00861267957972983
9	0.00907401333770635
10	0.00761510387422796
11	0.00777457257440372
12	0.00847826086956522
13	0.00695957820738137
14	0.0069108987694369
15	0.00763908907466129
16	0.00649878147847279
17	0.00660344221988058
18	0.00639344851118853
19	0.00654408365046058
20	0.00582612336031259
21	0.0073097319764942
22	0.00668627039137436
23	0.00568063009688437
24	0.00634852699907269
25	0.00630803033524701
