pos	5pC>T
1	0.00338759222576293
2	0.00750250964230993
3	0.00514366796736431
4	0.00394578203207775
5	0.00413158715310259
6	0.00389531805461009
7	0.00402113064732319
8	0.00384341637010676
9	0.00290697674418605
10	0.00311400937866354
11	0.00420835025287017
12	0.00310791582415937
13	0.00318985114028012
14	0.00311229907363333
15	0.00335971330446469
16	0.003479726017362
17	0.00282780175621372
18	0.00346441602476689
19	0.00263558409740525
20	0.00363783346806791
21	0.00260593700430546
22	0.00343960352097049
23	0.00314012338837785
24	0.00326536811330068
25	0.0037405550983766
