pos	5pG>A
1	0.00835079408460114
2	0.0120969808806192
3	0.00796225302270717
4	0.00600289028050543
5	0.00492377988734392
6	0.00539878240226672
7	0.00527641203981293
8	0.00510407239819005
9	0.00564736203759854
10	0.00434330685277303
11	0.00362045557399306
12	0.00398941271241705
13	0.00401233421257941
14	0.00477522850214512
15	0.0042465281762883
16	0.00385123654898999
17	0.00387813700264757
18	0.00344527316094347
19	0.00394914999247781
20	0.00352535253525353
21	0.00441289332310054
22	0.00349637204406181
23	0.0040782418246356
24	0.00420972062763108
25	0.00347668354621722
