pos	5pG>A
1	0.00772745392658919
2	0.00997316863261277
3	0.00731896647321924
4	0.00695218975388505
5	0.00621290067273447
6	0.00530534351145038
7	0.00596302921884317
8	0.0055918663761801
9	0.00448782676988668
10	0.0051333932853717
11	0.00467465882530348
12	0.00431785470797667
13	0.00378107217729859
14	0.00377006345651362
15	0.00403179357216911
16	0.00447945052073612
17	0.00437138053427984
18	0.00455829723111697
19	0.00466533729636179
20	0.0046786690122394
21	0.00432982642713358
22	0.0037881657701341
23	0.00375497819078324
24	0.00332429024492759
25	0.00450518664344666
