pos	5pC>T
1	0.0681240467717336
2	0.0587915078933043
3	0.0422222222222222
4	0.0306919642857143
5	0.0225522552255226
6	0.0103036876355748
7	0.00461301896463352
8	0.00556962025316456
9	0.00884086444007859
10	0.0066006600660066
11	0.00604651162790698
12	0.00333333333333333
13	0.00814848347668628
14	0.00276370336250576
15	0.00602130616025938
16	0.00475285171102662
17	0.0042174320524836
18	0.00625902744342802
19	0.0055996266915539
20	0.00562587904360056
21	0.00611764705882353
22	0.00378429517502365
23	0.0028436018957346
24	0.00292682926829268
25	0.00191296030607365
