"","Position","C.T","G.A"
"1",1,0.822989479184056,0.569371179976006
"2",2,0.763705526744711,0.44656269966241
"3",3,0.686996085963154,0.349536613851233
"4",4,0.593525118391169,0.279899879160483
"5",5,0.487661365300798,0.230722245398689
"6",6,0.38093454024941,0.188818820236893
"7",7,0.286191607600513,0.148410351366908
"8",8,0.210782824616397,0.110001018232146
"9",9,0.153052321156299,0.0784722183771067
"10",10,0.109149749110748,0.0556339160083942
"11",11,0.076506702607571,0.0398160469775537
"12",12,0.0522491239903261,0.0296261779466191
"13",-12,0.0312179034543074,0.0506898928830193
"14",-11,0.0431480560563886,0.0733477662386683
"15",-10,0.0586191383634996,0.106393372509562
"16",-9,0.0780507960522221,0.153284975322634
"17",-8,0.10242267285694,0.216474409282334
"18",-7,0.134402511649219,0.295517190410198
"19",-6,0.177322559874261,0.387192945287547
"20",-5,0.238537849013771,0.483835161887875
"21",-4,0.318119348841762,0.579941181858254
"22",-3,0.415743801993105,0.668661440252283
"23",-2,0.5175445876565,0.747626080575631
"24",-1,0.631102714750573,0.809726262367146
