"","Position","C.T","G.A"
"1",1,0.10108639889437,0.0964808308330821
"2",2,0.0420179948121332,0.0358682904052418
"3",3,0.0224741455841767,0.018945489286392
"4",4,0.0136185953050491,0.011844155648586
"5",5,0.00916127165171173,0.00803096719423654
"6",6,0.00664877406746499,0.00581339693892618
"7",7,0.00507457394976156,0.00448247180609317
"8",8,0.00406576468215326,0.00360279376930059
"9",9,0.00336960129733685,0.00302033667256635
"10",10,0.00284121955919037,0.00265241682010395
"11",11,0.00245963778638766,0.00238068025996153
"12",12,0.00221192171948199,0.00213623351986629
"13",-12,0.00192599750167264,0.00240242625184696
"14",-11,0.00214256732240242,0.00267535934439904
"15",-10,0.00237634308742586,0.00308405742877322
"16",-9,0.00268791288341626,0.00365205068783988
"17",-8,0.00325472266252092,0.00436080559971738
"18",-7,0.00416763692636265,0.00534407874791067
"19",-6,0.00555204052869244,0.00687269260965727
"20",-5,0.00766976192381012,0.00946902657040652
"21",-4,0.0109575640246285,0.0143443308274069
"22",-3,0.016960448059723,0.0239787835997718
"23",-2,0.0310793368390304,0.0454669380641758
"24",-1,0.0816234842938072,0.112567034187736
