pos	5pC>T
1	0.00404448938321537
2	0.00460829493087558
3	0.00551181102362205
4	0.00301091456529921
5	0.00193199381761978
6	0.00400962309542903
7	0.00502318392581144
8	0.00353232073472271
9	0.00111028867505551
10	0.00254175744371823
11	0.00191497510532363
12	0.00147112909157779
13	0.00285816362986781
14	0.00183284457478006
15	0.00188253012048193
16	0.0035033086804204
17	0.00307810696421701
18	0.00518710633567988
19	0.00256504213997801
20	0.00219378427787934
21	0.00265352539802881
22	0.00245872848612575
23	0.00180310133429499
24	0.00186011904761905
25	0.00290909090909091
