pos	5pG>A
1	0.0319684159038502
2	0.030530606083478
3	0.0194565217391304
4	0.0149370232393117
5	0.013462164802953
6	0.0113050522904699
7	0.00944181167022393
8	0.00878678805843743
9	0.00825143024790964
10	0.0076158466819222
11	0.00690114201639459
12	0.00773372845217014
13	0.00799492832740464
14	0.00664603699275617
15	0.00609581181870339
16	0.00644306833231915
17	0.00702014322503263
18	0.00668618309299216
19	0.00646008589784546
20	0.00567021201662323
21	0.00598759712025091
22	0.00616023655308364
23	0.00554191511750263
24	0.00518337061099869
25	0.00524432160447893
