pos	5pC>T
1	0.00434832360682
2	0.007567454725745
3	0.00535815002820079
4	0.00422978200354289
5	0.00440133987691828
6	0.00426439232409382
7	0.00365796098174953
8	0.00324235730064847
9	0.00381241440574453
10	0.00355654548067251
11	0.00352681851579721
12	0.00397942711266284
13	0.00307602167862897
14	0.00342478230772033
15	0.00335347877358491
16	0.00380061394532963
17	0.00360625574977001
18	0.00366341030195382
19	0.00360758328731824
20	0.00317249520436771
21	0.00331462578628197
22	0.00390668190026905
23	0.00406654343807763
24	0.00263365815117198
25	0.00304289743209144
