pos	5pC>T
1	0.0717299578059072
2	0.0852017937219731
3	0.0558912386706949
4	0.0344827586206897
5	0.0140625
6	0.0120845921450151
7	0.0166898470097357
8	0.0101781170483461
9	0.0105820105820106
10	0.00992555831265509
11	0.00571428571428571
12	0.00225988700564972
13	0.00405268490374873
14	0.0115911485774499
15	0.00560538116591928
16	0.0087527352297593
17	0.00783874580067189
18	0.0139416983523447
19	0.00355450236966825
20	0.0102432778489117
21	0.00254452926208651
22	0.00621890547263682
23	0.0103761348897536
24	0.0121951219512195
25	0.0167095115681234
